date,JWN
2017-04-27,37.7148543946
2017-04-28,37.6914290192
2017-05-01,36.9730508403
2017-05-02,37.9803419825
2017-05-03,38.7611878292
2017-05-04,38.3707649058
2017-05-05,38.2692549458
2017-05-08,38.0271927333
2017-05-09,38.5347425337
2017-05-10,39.0501007925
2017-05-11,36.0828865751
2017-05-12,32.1708488832
2017-05-15,32.3270180525
2017-05-16,31.7335752091
2017-05-17,31.866319003
2017-05-18,31.749192126
2017-05-19,31.8350851691
2017-05-22,32.8267593944
2017-05-23,32.4441449295
2017-05-24,32.5300379727
2017-05-25,32.9318379089
2017-05-26,33.459692727
2017-05-30,33.4360574367
2017-05-31,32.9318379089
2017-06-01,33.782708362
2017-06-02,33.459692727
2017-06-05,32.8136614571
2017-06-06,31.6240185087
2017-06-07,31.8918851328
2017-06-08,35.1614336333
2017-06-09,37.1546764541
2017-06-12,36.6110647757
2017-06-13,36.5401589047
2017-06-14,37.2807313361
2017-06-15,37.0286215722
2017-06-16,37.4225430783
2017-06-19,37.8637351651
2017-06-20,36.366833442
2017-06-21,36.303806001
2017-06-22,37.406786218
2017-06-23,37.8164645844
2017-06-26,37.6588959819
2017-06-27,37.5564763904
2017-06-28,37.5643548205
2017-06-29,37.469813659
2017-06-30,37.6825312723
2017-07-03,38.1394802194
2017-07-05,37.9110057458
2017-07-06,37.3280019168
2017-07-07,37.4540567988
2017-07-10,36.4141040227
2017-07-11,36.5953079155
2017-07-12,36.7213627975
2017-07-13,37.2886097662
2017-07-14,36.9104451204
2017-07-17,37.3516372072
2017-07-18,36.4534961733
2017-07-19,36.9813509915
2017-07-20,37.1074058734
2017-07-21,37.3752724976
2017-07-24,36.949837271
2017-07-25,37.8873704555
2017-07-26,37.7061665627
2017-07-27,38.5806723062
2017-07-28,38.2576566712
2017-07-31,38.2655351013
2017-08-01,38.5570370158
2017-08-02,36.626821636
2017-08-03,36.9104451204
2017-08-04,36.8789313999
2017-08-07,37.4146646482
2017-08-08,37.3516372072
2017-08-09,36.9340804107
2017-08-10,35.3505159563
2017-08-11,35.3741512466
2017-08-14,35.7365590322
2017-08-15,35.1850689237
2017-08-16,35.1220414827
2017-08-17,35.011743461
2017-08-18,34.9250807297
2017-08-21,34.4838886429
2017-08-22,35.074770902
2017-08-23,35.137798343
2017-08-24,34.814782708
2017-08-25,36.0224155176
2017-08-28,35.7999568421
2017-08-29,35.386819302
2017-08-30,35.1881954846
2017-08-31,35.4503789236
2017-09-01,36.896360314
2017-09-05,36.7056814493
2017-09-06,37.1188189894
2017-09-07,36.713626402
2017-09-08,36.6262319224
2017-09-11,35.5298284505
2017-09-12,35.7920118894
2017-09-13,37.9292041643
2017-09-14,37.1347088948
2017-09-15,37.1347088948
2017-09-18,37.0552593679
2017-09-19,36.7215713547
2017-09-20,36.7215713547
2017-09-21,36.7692410709
2017-09-22,37.2459382326
2017-09-25,37.5955161511
2017-09-26,37.7623601577
2017-09-27,37.6908555835
2017-09-28,37.6590757727
2017-09-29,37.4604519553
2017-10-02,35.100801005
2017-10-03,35.1166909104
2017-10-04,35.1564156739
2017-10-05,35.5933880721
2017-10-06,35.20408539
2017-10-09,34.5923240325
2017-10-10,34.4652047894
2017-10-11,34.0997369655
2017-10-12,33.8375535265
2017-10-13,33.8852232427
2017-10-16,32.0976088864
2017-10-17,32.9318289194
2017-10-18,33.3767462703
2017-10-19,33.1542875948
2017-10-20,33.487975608
2017-10-23,33.1860674056
2017-10-24,33.0589481625
2017-10-25,32.9953885409
2017-10-26,33.5356453241
2017-10-27,32.55047119
2017-10-30,31.7798107786
2017-10-31,31.5017374343
2017-11-01,31.7321410625
2017-11-02,31.2633888535
2017-11-03,30.5880678744
2017-11-06,31.1918842792
2017-11-07,30.4371137732
2017-11-08,30.4291688205
2017-11-09,31.8036456367
2017-11-10,31.8036456367
2017-11-13,30.7628568337
2017-11-14,31.1124347523
2017-11-15,31.1362696104
2017-11-16,31.7559759205
2017-11-17,32.4630767104
2017-11-20,32.9238839667
2017-11-21,32.8126546289
2017-11-22,32.7014252912
2017-11-24,32.836489487
2017-11-27,33.1411248875
2017-11-28,34.2073487893
2017-11-29,36.6845155988
2017-11-30,36.4359972457
2017-12-01,36.4760808511
2017-12-04,37.8870237587
2017-12-05,36.9971677204
2017-12-06,36.3317798719
2017-12-07,36.0592113556
2017-12-08,36.7005490409
2017-12-11,36.7486493673
2017-12-12,36.6684821566
2017-12-13,37.0933683732
2017-12-14,36.0431779135
2017-12-15,36.46806413
2017-12-18,37.3819703315
2017-12-19,37.2857696787
2017-12-20,37.5503214739
2017-12-21,38.0794250643
2017-12-22,38.1114919486
2017-12-26,38.8570470077
2017-12-27,38.4241440701
2017-12-28,38.2477762067
2017-12-29,37.9832244115
2018-01-02,39.378133877
2018-01-03,39.0013479869
2018-01-04,38.528361444
2018-01-05,38.6806791443
2018-01-08,38.6967125864
2018-01-09,38.3920771859
2018-01-10,39.4422676455
2018-01-11,40.1557558204
2018-01-12,41.5426485649
2018-01-16,40.22790631
2018-01-17,40.8612272743
2018-01-18,41.0616453009
2018-01-19,41.6869495441
2018-01-22,42.3443206715
2018-01-23,41.6869495441
2018-01-24,40.5806420369
2018-01-25,39.6827692775
2018-01-26,40.4042741735
2018-01-29,40.7970935057
2018-01-30,39.6106187879
2018-01-31,39.5304515773
2018-02-01,39.4663178087
2018-02-02,38.3600103016
2018-02-05,37.3899870526
2018-02-06,38.6886958653
2018-02-07,39.5224348562
2018-02-08,37.8629735955
2018-02-09,38.3920771859
2018-02-12,38.776879797
2018-02-13,39.4182174823
2018-02-14,40.3722072892
2018-02-15,41.077678743
2018-02-16,41.2861134908
2018-02-20,40.4764246631
2018-02-21,40.1317056572
2018-02-22,40.3000567996
2018-02-23,42.9375580304
2018-02-26,42.0076183867
2018-02-27,40.9093276006
2018-02-28,41.1337957905
2018-03-01,40.468407942
2018-03-02,42.8173072144
2018-03-05,41.8970257245
2018-03-06,42.3733117587
2018-03-07,41.2108509294
2018-03-08,40.4681676218
2018-03-09,40.3551505967
2018-03-12,40.2421335716
2018-03-13,40.6296205147
2018-03-14,39.9434457196
2018-03-15,39.4913776193
2018-03-16,39.8142834052
2018-03-19,39.8465739838
2018-03-20,39.8385013392
2018-03-21,38.5065149722
2018-03-22,37.8364854664
2018-03-23,37.4247805894
2018-03-26,38.0463742273
2018-03-27,38.2401176988
2018-03-28,38.6679678652
