date,WYND
2018-10-03,30.686648343
2018-10-04,29.8738063821
2018-10-05,29.8887209135
2018-10-08,29.7917764594
2018-10-09,29.2175670007
2018-10-10,27.5471394846
2018-10-11,27.0624172143
2018-10-12,27.2786779195
2018-10-15,27.4576522962
2018-10-16,28.1213489433
2018-10-17,28.1138916776
2018-10-18,27.315964248
2018-10-19,27.1891907312
2018-10-22,27.06987448
2018-10-23,26.6746393981
2018-10-24,25.0787845389
2018-10-25,26.0184000167
2018-10-26,25.6828230604
2018-10-29,25.5485922778
2018-10-30,25.9512846255
2018-10-31,26.7566693207
2018-11-01,31.8350672604
2018-11-02,32.1855587481
2018-11-05,31.9469262458
2018-11-06,32.3197895307
2018-11-07,32.0289561685
2018-11-08,31.8276099947
2018-11-09,31.0222252994
2018-11-12,30.8805372512
2018-11-13,30.9476526424
2018-11-14,31.0445970965
2018-11-15,31.2310287389
2018-11-16,31.081883425
2018-11-19,30.7910500628
2018-11-20,30.5822466233
2018-11-21,31.3578022558
2018-11-23,31.1639133476
2018-11-26,31.8052381976
2018-11-27,31.0893406907
2018-11-28,31.1266270192
2018-11-29,31.0595116279
2018-11-30,30.9252808453
2018-12-03,31.5218621011
2018-12-04,30.2019260727
2018-12-06,30.2019260727
2018-12-07,28.9938490298
2018-12-10,28.5613276194
2018-12-11,28.1735498032
2018-12-12,28.3152378514
2018-12-13,28.3152378514
2018-12-14,28.2700058421
2018-12-17,28.0212297906
2018-12-18,28.2473898374
2018-12-19,27.3050563093
2018-12-20,26.7848882018
2018-12-21,25.98578937
2018-12-24,25.5259306083
2018-12-26,27.0110482486
2018-12-27,27.3125949775
2018-12-28,27.1090509355
2018-12-31,27.0185869168
2019-01-02,27.3653656551
2019-01-03,26.2571814261
2019-01-04,27.5010616832
2019-01-07,27.9533817766
2019-01-08,28.4961658888
2019-01-09,28.6394005851
2019-01-10,28.6318619168
2019-01-11,28.8806379682
2019-01-14,28.8354059589
2019-01-15,29.2123393701
2019-01-16,29.611888786
2019-01-17,29.8908195103
2019-01-18,30.5692996505
2019-01-22,29.9662061926
2019-01-23,29.9963608655
2019-01-24,30.3431396038
2019-01-25,30.9990037393
2019-01-28,31.3307051412
2019-01-29,31.5342491833
2019-01-30,32.1071879683
2019-01-31,31.7679478982
2019-02-01,32.0393399543
2019-02-04,32.8761321273
2019-02-05,33.3209135525
2019-02-06,33.5319962628
2019-02-07,33.2153721974
2019-02-08,32.9590574777
2019-02-11,33.1475241833
2019-02-12,33.9993936927
2019-02-13,34.4743297909
2019-02-14,34.444175118
2019-02-15,35.0698845806
2019-02-19,35.0548072441
2019-02-20,35.3035832956
2019-02-21,35.182964604
2019-02-22,35.4769726647
2019-02-25,35.2960446273
2019-02-26,33.9617003516
2019-02-27,35.017113903
2019-02-28,33.9466230151
2019-03-01,33.6827696273
2019-03-04,33.8938523376
2019-03-05,34.4064817768
2019-03-06,34.4215591133
2019-03-07,33.4566095805
2019-03-08,33.5847669404
2019-03-11,31.9337985992
2019-03-12,31.6096358655
2019-03-13,31.5116331786
2019-03-14,31.1723931085
2019-03-15,31.5794811926
2019-03-18,32.1129183749
2019-03-19,31.465173225
2019-03-20,31.3889679132
2019-03-21,31.7471328785
2019-03-22,30.7564638256
2019-03-25,30.5202273592
2019-03-26,30.4516425786
2019-03-27,30.2763703616
2019-03-28,30.6573969204
2019-03-29,30.8555307309
2019-04-01,31.4042089756
2019-04-02,31.3203831327
2019-04-03,31.6328249109
2019-04-04,31.6252043797
2019-04-05,32.0062309385
2019-04-08,32.1510210308
2019-04-09,31.465173225
2019-04-10,32.0900567814
2019-04-11,32.1891236867
2019-04-12,32.6311144949
2019-04-15,32.4329806843
2019-04-16,32.8673509613
2019-04-17,32.676837682
2019-04-18,32.5701502455
2019-04-22,32.6844582131
2019-04-23,33.1950338019
2019-04-24,32.7987661808
2019-04-25,32.3491548414
2019-04-26,32.7606635249
2019-04-29,33.0197615849
2019-04-30,33.1950338019
2019-05-01,33.8961226701
2019-05-02,33.3093417695
2019-05-03,34.0104306377
2019-05-06,33.9723279818
2019-05-07,33.4693729242
2019-05-08,33.2941007072
2019-05-09,33.2788596448
2019-05-10,33.4388907995
2019-05-13,32.1434004996
2019-05-14,32.8444893678
2019-05-15,33.1950338019
2019-05-16,33.7437120466
2019-05-17,33.9113637324
2019-05-20,32.722560869
2019-05-21,33.3779265501
2019-05-22,32.6920787443
2019-05-23,31.7471328785
2019-05-24,31.8461997838
2019-05-28,31.4346911003
2019-05-29,31.4804142873
2019-05-30,31.1679725091
2019-05-31,30.3144730174
2019-06-03,30.0858570822
2019-06-04,31.3280036638
2019-06-05,31.3051420703
2019-06-06,31.2517983521
2019-06-07,31.8385792526
2019-06-10,32.4253601531
2019-06-11,33.1721722084
2019-06-12,32.7073198067
2019-06-13,33.0121410537
2019-06-14,32.9813389627
2019-06-17,32.9120342579
2019-06-18,33.0275420992
2019-06-19,33.2585577819
2019-06-20,33.381766146
2019-06-21,33.0506436675
2019-06-24,32.781125371
2019-06-25,32.3036929602
2019-06-26,32.5039065518
2019-06-27,33.3124614412
2019-06-28,33.8052948975
