date,LM
2017-07-10,34.5558509767
2017-07-11,34.0365450145
2017-07-12,34.5030402009
2017-07-13,35.1103641228
2017-07-14,34.9959407752
2017-07-17,34.8991210195
2017-07-18,35.0927605308
2017-07-19,35.620868289
2017-07-20,35.6824808608
2017-07-21,35.4360305737
2017-07-24,35.6912826568
2017-07-25,36.1313724553
2017-07-26,36.4482371102
2017-07-27,34.5822563646
2017-07-28,34.8463102437
2017-07-31,35.2159856744
2017-08-01,35.0927605308
2017-08-02,33.5788516241
2017-08-03,33.7020767676
2017-08-04,33.4996354603
2017-08-07,34.1597701581
2017-08-08,33.7988965233
2017-08-09,33.6932749717
2017-08-10,32.9891312941
2017-08-11,32.9627259062
2017-08-14,33.4204192966
2017-08-15,33.7636893394
2017-08-16,33.5524462362
2017-08-17,32.5754468835
2017-08-18,32.8042935787
2017-08-21,32.6722666392
2017-08-22,32.9979330901
2017-08-23,32.8130953747
2017-08-24,32.8659061505
2017-08-25,32.9011133344
2017-08-28,32.6722666392
2017-08-29,32.3818073722
2017-08-30,33.006734886
2017-08-31,33.6140588079
2017-09-01,33.8165001152
2017-09-05,32.2761858206
2017-09-06,32.3466001883
2017-09-07,32.2497804327
2017-09-08,32.1001499012
2017-09-11,33.006734886
2017-09-12,33.6140588079
2017-09-13,33.305995949
2017-09-14,33.2267797853
2017-09-15,33.6316623999
2017-09-18,33.6316623999
2017-09-19,33.1299600296
2017-09-20,33.2795905611
2017-09-21,33.0507438659
2017-09-22,33.4380228886
2017-09-25,33.9045180749
2017-09-26,33.4908336644
2017-09-27,34.0453468105
2017-09-28,34.6438689364
2017-09-29,34.5998599565
2017-10-02,34.3270042815
2017-10-03,34.4150222412
2017-10-04,34.5294455888
2017-10-05,34.2634935047
2017-10-06,34.0330016984
2017-10-09,33.8645653785
2017-10-10,34.6978819087
2017-10-11,34.3876044772
2017-10-12,33.9443510037
2017-10-13,34.3432791299
2017-10-16,33.3592564186
2017-10-17,33.3592564186
2017-10-18,33.6606687806
2017-10-19,33.8822955174
2017-10-20,34.4230647551
2017-10-23,33.4479071133
2017-10-24,33.3592564186
2017-10-25,33.4656372523
2017-10-26,34.307818852
2017-10-27,34.5915010751
2017-10-30,33.8822955174
2017-10-31,33.8468352395
2017-11-01,34.1482476015
2017-11-02,34.157112671
2017-11-03,34.2989537825
2017-11-06,34.5471757277
2017-11-07,33.9177557953
2017-11-08,33.5720180859
2017-11-09,33.2794707934
2017-11-10,33.7404544059
2017-11-13,33.5365578081
2017-11-14,33.6340735722
2017-11-15,33.6518037112
2017-11-16,33.6429386417
2017-11-17,33.5276927386
2017-11-20,33.9443510037
2017-11-21,34.1837078794
2017-11-22,34.4496599635
2017-11-24,34.5737709361
2017-11-27,34.3166839215
2017-11-28,35.2918415633
2017-11-29,35.3184367717
2017-11-30,35.4248176053
2017-12-01,35.5932539253
2017-12-04,36.0631026072
2017-12-05,35.6907696895
2017-12-06,35.3007066327
2017-12-07,35.68190462
2017-12-08,35.9655868431
2017-12-11,35.8503409399
2017-12-12,35.7882854536
2017-12-13,35.6109840642
2017-12-14,35.4602778832
2017-12-15,36.2669992051
2017-12-18,36.5950067755
2017-12-19,37.2244267079
2017-12-20,37.4386166482
2017-12-21,37.4118429057
2017-12-22,37.3850691631
2017-12-26,37.5814099417
2017-12-27,37.4564658099
2017-12-28,37.6171082651
2017-12-29,37.4653903907
2018-01-02,37.0102367676
2018-01-03,36.8942172166
2018-01-04,36.6532535338
2018-01-05,37.3761445823
2018-01-08,37.8312982054
2018-01-09,38.2239797626
2018-01-10,37.7331278161
2018-01-11,38.2150551818
2018-01-12,39.0361166196
2018-01-16,38.5809629965
2018-01-17,39.4644965002
2018-01-18,39.2324573982
