date,VAR
2017-05-15,96.72
2017-05-16,95.95
2017-05-17,95.11
2017-05-18,94.6
2017-05-19,95.05
2017-05-22,95.65
2017-05-23,95.95
2017-05-24,96.75
2017-05-25,97.72
2017-05-26,97.87
2017-05-30,98.78
2017-05-31,99.02
2017-06-01,100.62
2017-06-02,101.53
2017-06-05,101.86
2017-06-06,101.91
2017-06-07,103.16
2017-06-08,103.22
2017-06-09,102.27
2017-06-12,102.05
2017-06-13,102.01
2017-06-14,102.48
2017-06-15,102.67
2017-06-16,102.96
2017-06-19,104.61
2017-06-20,104.07
2017-06-21,104.35
2017-06-22,104.58
2017-06-23,105.03
2017-06-26,104.18
2017-06-27,102.65
2017-06-28,102.25
2017-06-29,102.68
2017-06-30,103.19
2017-07-03,102.9
2017-07-05,103.72
2017-07-06,103.13
2017-07-07,103.64
2017-07-10,103.06
2017-07-11,103.74
2017-07-12,104.84
2017-07-13,104.74
2017-07-14,106.2
2017-07-17,106.01
2017-07-18,105.4
2017-07-19,105.42
2017-07-20,104.35
2017-07-21,103.88
2017-07-24,104.46
2017-07-25,103.77
2017-07-26,102.59
2017-07-27,100.19
2017-07-28,97.5
2017-07-31,97.12
2017-08-01,97.9
2017-08-02,98.21
2017-08-03,97.14
2017-08-04,96.61
2017-08-07,96.48
2017-08-08,95.88
2017-08-09,96.2
2017-08-10,96.65
2017-08-11,97.74
2017-08-14,98.4
2017-08-15,99.22
2017-08-16,99.71
2017-08-17,99.26
2017-08-18,100.5
2017-08-21,101.22
2017-08-22,102.57
2017-08-23,100.91
2017-08-24,101.27
2017-08-25,101.99
2017-08-28,102.89
2017-08-29,102.89
2017-08-30,103.86
2017-08-31,106.25
2017-09-01,105.31
2017-09-05,106.08
2017-09-06,106.73
2017-09-07,105.3
2017-09-08,106.42
2017-09-11,107.19
2017-09-12,107.8
2017-09-13,107.68
2017-09-14,107.87
2017-09-15,106.33
2017-09-18,106.84
2017-09-19,106.18
2017-09-20,106.98
2017-09-21,104.63
2017-09-22,105.19
2017-09-25,103.99
2017-09-26,103.48
2017-09-27,101.6
2017-09-28,99.73
2017-09-29,100.06
2017-10-02,100.1
2017-10-03,100.13
2017-10-04,101.96
2017-10-05,102.49
2017-10-06,102.39
2017-10-09,100.37
2017-10-10,100.4
2017-10-11,100.91
2017-10-12,102.27
2017-10-13,102.7
2017-10-16,102.83
2017-10-17,104.2
2017-10-18,104.4
2017-10-19,105.6
2017-10-20,106.69
2017-10-23,107.37
2017-10-24,107.36
2017-10-25,108.23
2017-10-26,104.41
2017-10-27,106.35
2017-10-30,103.52
2017-10-31,104.19
2017-11-01,104.22
2017-11-02,104.67
2017-11-03,106.09
2017-11-06,106.18
2017-11-07,106.47
2017-11-08,107.6
2017-11-09,107.69
2017-11-10,107.55
2017-11-13,108.24
2017-11-14,109.34
2017-11-15,107.89
2017-11-16,109.22
2017-11-17,109.03
2017-11-20,109.24
2017-11-21,108.4
2017-11-22,108.79
2017-11-24,108.87
2017-11-27,109.46
2017-11-28,109.53
2017-11-29,111.22
2017-11-30,111.75
2017-12-01,112.41
2017-12-04,109.56
2017-12-05,109.26
2017-12-06,111.04
2017-12-07,111.96
2017-12-08,111.98
2017-12-11,111.18
2017-12-12,111.45
2017-12-13,112.42
2017-12-14,109.77
2017-12-15,111.87
2017-12-18,110.78
2017-12-19,110.7
2017-12-20,110.79
2017-12-21,110.71
2017-12-22,110.91
2017-12-26,110.82
2017-12-27,111.1
2017-12-28,112.29
2017-12-29,111.15
2018-01-02,110.98
2018-01-03,111.31
2018-01-04,109.86
2018-01-05,110.87
2018-01-08,111.4
2018-01-09,112.93
2018-01-10,111.68
2018-01-11,111.53
2018-01-12,108.49
2018-01-16,108.08
2018-01-17,109.32
2018-01-18,109.57
2018-01-19,110.32
2018-01-22,110.02
2018-01-23,110.81
2018-01-24,113.05
2018-01-25,127.01
2018-01-26,129.46
2018-01-29,128.57
2018-01-30,127.74
2018-01-31,127.5
2018-02-01,127.32
2018-02-02,124.86
2018-02-05,119.62
2018-02-06,118.58
2018-02-07,116.92
2018-02-08,112.82
2018-02-09,114.5
2018-02-12,116.7
2018-02-13,116.24
2018-02-14,119.53
2018-02-15,121.87
2018-02-16,121.26
2018-02-20,120.17
2018-02-21,120.13
2018-02-22,119.84
2018-02-23,121.17
2018-02-26,122.39
2018-02-27,121.61
2018-02-28,119.34
2018-03-01,117.39
2018-03-02,120.49
2018-03-05,122.66
2018-03-06,123.44
2018-03-07,123.7
2018-03-08,123.51
2018-03-09,126.55
2018-03-12,126.55
2018-03-13,125.49
2018-03-14,125.74
2018-03-15,125.38
2018-03-16,124.84
2018-03-19,123.87
2018-03-20,124.22
2018-03-21,123.41
2018-03-22,121.09
2018-03-23,119.45
2018-03-26,123.31
2018-03-27,121.84
2018-03-28,121.53
2018-03-29,122.65
2018-04-02,119.07
2018-04-03,119.32
2018-04-04,119.71
2018-04-05,120.47
2018-04-06,117.64
2018-04-09,118.2
2018-04-10,119.93
2018-04-11,119.14
2018-04-12,121.01
2018-04-13,120.7
2018-04-16,121.84
2018-04-17,123.05
2018-04-18,126.13
2018-04-19,126.79
2018-04-20,126.5
2018-04-23,127.09
2018-04-24,125.88
2018-04-25,125.86
2018-04-26,116.48
2018-04-27,118.18
2018-04-30,115.59
2018-05-01,116.51
2018-05-02,116.24
2018-05-03,116.78
2018-05-04,117.57
2018-05-07,117.5
2018-05-08,116.97
2018-05-09,117.36
2018-05-10,118.18
2018-05-11,118.5
2018-05-14,117.63
2018-05-15,117.22
2018-05-16,117.94
2018-05-17,118.27
2018-05-18,118.4
2018-05-21,118.79
2018-05-22,118.81
2018-05-23,118.95
2018-05-24,118.86
2018-05-25,118.54
2018-05-29,117.44
2018-05-30,118.75
2018-05-31,117.87
2018-06-01,120.13
2018-06-04,120.72
2018-06-05,121.41
2018-06-06,122.83
2018-06-07,121.77
2018-06-08,121.67
2018-06-11,121.78
2018-06-12,122.34
2018-06-13,122.95
2018-06-14,123.31
2018-06-15,122.17
2018-06-18,122.23
2018-06-19,121.09
2018-06-20,118.64
2018-06-21,117.24
2018-06-22,118.4
2018-06-25,116.16
2018-06-26,117.24
2018-06-27,115.98
2018-06-28,114.44
2018-06-29,113.72
2018-07-02,114.03
2018-07-03,113.84
2018-07-05,115.6
2018-07-06,116.57
2018-07-09,118.21
2018-07-10,118.1
2018-07-11,116.59
2018-07-12,116.85
2018-07-13,116.36
