date,VIAB
2018-01-19,31.7940624664
2018-01-22,32.3468369337
2018-01-23,31.8226542492
2018-01-24,31.5748587983
2018-01-25,32.032327323
2018-01-26,32.4897958477
2018-01-29,32.1276332656
2018-01-30,31.3937775073
2018-01-31,31.851246032
2018-02-01,31.6511035524
2018-02-02,30.7075747202
2018-02-05,29.6782705397
2018-02-06,29.7831070766
2018-02-07,29.077843101
2018-02-08,31.1745738392
2018-02-09,31.3270633474
2018-02-12,31.3365939417
2018-02-13,31.5462670155
2018-02-14,32.3373063395
2018-02-15,32.3373063395
2018-02-16,31.9274907861
2018-02-20,32.3849593108
2018-02-21,31.4795528556
2018-02-22,31.384246913
2018-02-23,32.1562250484
2018-02-26,32.2896533681
2018-02-27,31.6511035524
2018-02-28,31.7750012778
2018-03-01,31.5748587983
2018-03-02,32.4897958477
2018-03-05,32.6708771387
2018-03-06,32.6041629789
2018-03-07,32.0704497
2018-03-08,31.3080021589
2018-03-09,31.1841044334
2018-03-12,31.2794103761
2018-03-13,31.2603491876
2018-03-14,31.2984715646
2018-03-15,31.4806624224
2018-03-16,30.3491613058
2018-03-19,30.0710805229
2018-03-20,29.7162877999
2018-03-21,30.0135465678
2018-03-22,29.3710840694
2018-03-23,28.9012234362
2018-03-26,28.8532784736
2018-03-27,29.4669739945
2018-03-28,29.2272491817
2018-03-29,29.7834107475
2018-04-02,29.2943721293
2018-04-03,28.2108159752
2018-04-04,29.3135501143
2018-04-05,29.5053299646
2018-04-06,29.6299868672
2018-04-09,29.6971098148
2018-04-10,29.7642327624
2018-04-11,29.2560161592
2018-04-12,29.2656051517
2018-04-13,29.438207017
2018-04-16,30.166970448
2018-04-17,30.147792463
2018-04-18,29.9751905977
2018-04-19,29.495740972
2018-04-20,29.3998510469
2018-04-23,29.7834107475
2018-04-24,29.6491648523
2018-04-25,29.8984786576
2018-04-26,29.6971098148
2018-04-27,29.4861519795
2018-04-30,28.9204014212
2018-05-01,28.728621571
2018-05-02,28.431362803
2018-05-03,28.1628710126
2018-05-04,29.0450583239
2018-05-07,29.438207017
2018-05-08,28.5656086982
2018-05-09,28.8245114961
2018-05-10,29.2847831367
2018-05-11,28.9779353763
2018-05-14,27.5587644843
2018-05-15,27.1272598212
2018-05-16,27.1080818361
2018-05-17,27.0026029185
2018-05-18,26.1204156072
2018-05-21,26.32178445
2018-05-22,26.4368523602
2018-05-23,26.0724706447
2018-05-24,26.1587715773
2018-05-25,26.3697294126
2018-05-29,25.7656228842
2018-05-30,26.0724706447
2018-05-31,25.986169712
2018-06-01,25.612199004
2018-06-04,25.8327458318
2018-06-05,25.9574027345
2018-06-06,26.5519202704
2018-06-07,26.6190432179
2018-06-08,26.7628781057
2018-06-11,27.1176708287
2018-06-12,27.1272598212
2018-06-13,26.993013926
2018-06-14,27.9135572073
2018-06-15,28.3866683464
2018-06-18,28.6666728981
2018-06-19,28.3094257114
2018-06-20,29.1977160134
2018-06-21,29.3522012834
2018-06-22,29.2363373309
2018-06-25,28.8694348149
2018-06-26,28.6666728981
2018-06-27,28.9563327792
2018-06-28,28.8597794855
2018-06-29,29.1204733785
2018-07-02,28.4349449932
2018-07-03,28.010110501
2018-07-05,28.3963236758
2018-07-06,28.9659881086
2018-07-09,29.448754577
2018-07-10,29.448754577
2018-07-11,29.081852061
2018-07-12,28.9852987673
2018-07-13,28.9659881086
2018-07-16,28.6666728981
2018-07-17,27.5949313381
2018-07-18,27.5756206794
2018-07-19,27.0349222347
2018-07-20,26.5425004368
2018-07-23,26.6583643893
2018-07-24,26.3783598375
2018-07-25,26.9190582822
2018-07-26,27.0928542109
2018-07-27,28.3383916996
2018-07-30,27.7880379255
2018-07-31,28.0487318185
2018-08-01,27.7107952905
2018-08-02,27.6142419968
2018-08-03,28.0873531359
2018-08-06,28.0873531359
2018-08-07,28.0197658304
2018-08-08,27.6335526556
2018-08-09,29.2942693071
2018-08-10,29.2942693071
2018-08-13,29.265303319
2018-08-14,29.8156570931
2018-08-15,29.7384144581
2018-08-16,29.0625414023
2018-08-17,29.6611718232
2018-08-20,29.9411763749
2018-08-21,30.8391220063
2018-08-22,30.8294666769
2018-08-23,29.9122103868
2018-08-24,29.9122103868
2018-08-27,29.5453078707
2018-08-28,29.3522012834
2018-08-29,29.3522012834
2018-08-30,28.821158168
2018-08-31,28.270804394
2018-09-04,28.377013017
2018-09-05,28.4252896639
2018-09-06,28.2514937352
2018-09-07,27.9811445129
2018-09-10,28.0680424772
2018-09-11,27.8845912192
2018-09-12,28.6183962513
2018-09-13,29.0432307435
2018-09-14,29.0142647554
2018-09-17,29.218385211
2018-09-18,29.3641855364
2018-09-19,29.8696266645
2018-09-20,30.9388290508
2018-09-21,31.4637102222
2018-09-24,31.6775506995
2018-09-25,31.5706304608
2018-09-26,32.7953531942
2018-09-27,32.9022734329
2018-09-28,32.8147932376
