date,ETFC
2018-02-14,50.2915714042
2018-02-15,50.4867647727
2018-02-16,50.5648421201
2018-02-20,50.7600354887
2018-02-21,50.516043778
2018-02-22,49.5205575984
2018-02-23,50.1451763778
2018-02-26,50.7112371465
2018-02-27,51.8335990156
2018-02-28,50.9747481941
2018-03-01,49.9597426777
2018-03-02,50.2818117358
2018-03-05,51.3553752627
2018-03-06,53.0925962427
2018-03-07,53.5903393325
2018-03-08,53.8440907116
2018-03-09,55.864342076
2018-03-12,56.4889608553
2018-03-13,55.6203503653
2018-03-14,55.7862647286
2018-03-15,55.3763586546
2018-03-16,55.9131404181
2018-03-19,55.132366944
2018-03-20,55.7862647286
2018-03-21,56.2254498078
2018-03-22,53.6488973431
2018-03-23,51.8140796788
2018-03-26,54.2247177802
2018-03-27,52.7705271846
2018-03-28,52.3118227686
2018-03-29,54.0783227538
2018-04-02,53.0242785637
2018-04-03,53.8440907116
2018-04-04,54.5272675015
2018-04-05,55.4739553389
2018-04-06,53.9124083906
2018-04-09,54.2051984434
2018-04-10,55.8838614128
2018-04-11,55.7472260549
2018-04-12,56.3523254973
2018-04-13,55.59107136
2018-04-16,56.2059304709
2018-04-17,57.0355022872
2018-04-18,56.664634887
2018-04-19,57.4161293559
2018-04-20,59.0264746463
2018-04-23,58.8800796199
2018-04-24,58.0700271405
2018-04-25,58.128585151
2018-04-26,59.1143116622
2018-04-27,59.797488452
2018-04-30,59.2216680149
2018-05-01,59.5730160782
2018-05-02,59.407101715
2018-05-03,58.997195641
2018-05-04,59.9926818206
2018-05-07,60.6563392736
2018-05-08,61.4273530793
2018-05-09,62.4618779326
2018-05-10,62.5594746169
2018-05-11,62.8425050013
2018-05-14,62.3350022431
2018-05-15,62.6570713011
2018-05-16,62.8425050013
2018-05-17,63.2914497489
2018-05-18,63.1060160488
2018-05-21,63.7306348281
2018-05-22,64.1307812336
2018-05-23,64.1210215652
2018-05-24,63.2036127331
2018-05-25,62.5985132906
2018-05-29,60.7734552947
2018-05-30,62.1007702008
2018-05-31,61.8274994849
2018-06-01,62.53995528
2018-06-04,62.949861354
2018-06-05,63.1352950541
2018-06-06,64.4040519496
2018-06-07,63.3988061016
2018-06-08,63.8379911808
2018-06-11,62.9303420171
2018-06-12,62.9693806908
2018-06-13,63.3207287542
2018-06-14,63.2816900805
2018-06-15,62.7644276538
2018-06-18,62.8425050013
2018-06-19,62.9205823487
2018-06-20,63.6427978123
2018-06-21,63.6427978123
2018-06-22,63.3695270963
2018-06-25,61.1931210371
2018-06-26,61.007687337
2018-06-27,59.7779691152
2018-06-28,60.1195575101
2018-06-29,59.6901320993
2018-07-02,60.139076847
2018-07-03,59.2802260254
2018-07-05,58.5092122197
2018-07-06,59.1240713306
2018-07-09,60.4025878945
2018-07-10,59.4949387308
2018-07-11,59.475419394
2018-07-12,59.06551332
2018-07-13,58.3237785196
2018-07-16,58.470173546
