date,FL
2020-07-29,27.3618319746
2020-07-30,27.0437738696
2020-07-31,25.9659102916
2020-08-03,24.0663966092
2020-08-04,24.3491149247
2020-08-05,24.4374643983
2020-08-06,23.8190180831
2020-08-07,24.2784353458
2020-08-10,26.1779490283
2020-08-11,26.7698905014
2020-08-12,26.637366291
2020-08-13,25.8333860812
2020-08-14,25.3828037659
2020-08-17,25.091250503
2020-08-18,24.0310568198
2020-08-19,24.2961052406
2020-08-20,24.0222218724
2020-08-21,24.3579498721
2020-08-24,25.7715414497
2020-08-25,26.2044538704
2020-08-26,25.7450366076
2020-08-27,26.3016382913
2020-08-28,26.8494050277
2020-08-31,26.7963953435
2020-09-01,27.1586281853
2020-09-02,28.6340643944
2020-09-03,28.1393073423
2020-09-04,28.5103751314
2020-09-08,28.91678271
2020-09-09,29.7384328145
2020-09-10,29.2701806044
2020-09-11,30.2155199719
2020-09-14,31.6909561811
2020-09-15,31.664451339
2020-09-16,32.2828976542
2020-09-17,31.7616357599
2020-09-18,31.6202766022
2020-09-21,30.4275587085
2020-09-22,30.5512479716
2020-09-23,29.2525107096
2020-09-24,29.040471973
2020-09-25,28.9786273415
2020-09-28,28.6163944997
2020-09-29,28.3690159736
2020-09-30,29.1818311308
2020-10-01,30.1360054457
2020-10-02,31.4789174444
2020-10-05,32.86600418
2020-10-06,32.2917326015
2020-10-07,33.1663923902
2020-10-08,33.873188179
2020-10-09,33.5993048109
2020-10-12,33.210567127
2020-10-13,33.749498916
2020-10-14,33.6964892318
2020-10-15,34.0145473368
2020-10-16,33.7839402362
2020-10-19,33.5799416472
2020-10-20,34.0322863445
2020-10-21,34.3515884838
2020-10-22,34.4935005457
2020-10-23,35.2740168862
2020-10-26,33.7573317246
2020-10-27,33.9613303136
2020-10-28,32.240646563
2020-10-29,32.8082948106
2020-10-30,32.7107302681
2020-11-02,33.118727446
2020-11-03,34.3781969954
2020-11-04,32.7284692758
2020-11-05,33.6863756936
2020-11-06,32.8703813377
2020-11-09,35.2207998629
2020-11-10,34.7329771502
2020-11-11,33.1009884383
2020-11-12,32.3736891211
2020-11-13,33.0300324074
2020-11-16,35.2296693668
2020-11-17,35.4957544829
2020-11-18,35.4247984519
2020-11-19,36.6576594897
2020-11-20,34.8394111966
2020-11-23,33.934721802
2020-11-24,34.5289785612
2020-11-25,34.0145473368
2020-11-27,33.8194182517
2020-11-30,33.1719444693
2020-12-01,34.5910650883
2020-12-02,34.9813232585
2020-12-03,36.2230538001
2020-12-04,36.9592226212
2020-12-07,36.7197460168
2020-12-08,37.9171290391
2020-12-09,38.1299971319
2020-12-10,37.4913928534
2020-12-11,37.2785247605
2020-12-14,36.3560963581
2020-12-15,37.4115673185
2020-12-16,36.1787062808
2020-12-17,36.4536609007
2020-12-18,34.6265431037
2020-12-21,35.4425374597
2020-12-22,34.8039331811
2020-12-23,35.5755800177
2020-12-24,35.0256707778
2020-12-28,35.7973176144
2020-12-29,35.7707091028
2020-12-30,35.9037516608
2020-12-31,35.8682736454
2021-01-04,34.6797601269
2021-01-05,35.7707091028
2021-01-06,38.6710368679
2021-01-07,38.9725999994
2021-01-08,38.9282524801
2021-01-11,41.1899759666
2021-01-12,41.9261447877
2021-01-13,41.0480639047
2021-01-14,42.1035348651
2021-01-15,42.5751086918
2021-01-19,41.907787239
2021-01-20,42.45943964
2021-01-21,42.5573134531
2021-01-22,42.3081801107
2021-01-25,42.0145586714
2021-01-26,41.3205443604
2021-01-27,38.4199204454
2021-01-28,39.0071633239
2021-01-29,38.9893680852
2021-02-01,39.7545633511
2021-02-02,40.3951919458
2021-02-03,40.6710181463
2021-02-04,42.6818801243
2021-02-05,43.5805396808
2021-02-08,44.8440016315
2021-02-09,45.4846302262
2021-02-10,45.4846302262
2021-02-11,46.3032112084
2021-02-12,46.3832897827
2021-02-16,46.1786445372
2021-02-17,44.9774659221
2021-02-18,46.0807707241
2021-02-19,46.1430540597
2021-02-22,48.0293493664
2021-02-23,47.0950993324
2021-02-24,48.714466058
2021-02-25,46.917146945
2021-02-26,42.7886515567
2021-03-01,45.9562040529
2021-03-02,44.6660492441
2021-03-03,45.6803778524
2021-03-04,45.1020325933
2021-03-05,46.365494544
2021-03-08,50.6096589841
2021-03-09,49.6398184726
2021-03-10,50.4228089773
2021-03-11,50.2092661124
2021-03-12,51.1257209076
2021-03-15,52.5493400071
2021-03-16,51.4015471082
2021-03-17,51.6150899731
2021-03-18,50.3872184998
2021-03-19,52.0866637998
2021-03-22,51.6506804506
2021-03-23,49.4618660852
2021-03-24,47.7001374497
2021-03-25,49.96013277
2021-03-26,51.2235947207
2021-03-29,49.7821803826
2021-03-30,50.9922566171
2021-03-31,50.0491089637
2021-04-01,50.4939899323
2021-04-05,49.3639922721
2021-04-06,50.0135184862
2021-04-07,49.9245422925
2021-04-08,50.5918637454
2021-04-09,51.9176090317
2021-04-12,53.1454805049
2021-04-13,51.828632838
2021-04-14,52.1578447547
2021-04-15,52.451466194
2021-04-16,52.451466194
2021-04-19,51.8265125542
2021-04-20,50.6301727295
2021-04-21,51.5854590075
2021-04-22,51.4961799161
2021-04-23,52.7282313773
2021-04-26,50.978361186
2021-04-27,52.4246824666
2021-04-28,52.5496731945
2021-04-29,52.7550151047
2021-04-30,52.6568081042
2021-05-03,54.8262900251
