date,DFS
2018-02-16,67.6085724439
2018-02-20,67.6935825941
2018-02-21,67.1070125578
2018-02-22,66.3897471227
2018-02-23,67.8157391187
2018-02-26,68.6781654158
2018-02-27,67.9352833579
2018-02-28,67.3119455393
2018-03-01,64.2208730687
2018-03-02,64.7588221451
2018-03-05,65.8091036752
2018-03-06,65.5870929452
2018-03-07,65.4333932091
2018-03-08,65.8347202978
2018-03-09,66.9618516959
2018-03-12,66.7313020918
2018-03-13,66.0311144051
2018-03-14,65.2882323472
2018-03-15,64.3574950564
2018-03-16,65.3565433411
2018-03-19,64.9295996297
2018-03-20,64.3489561822
2018-03-21,63.9220124708
2018-03-22,61.3859668251
2018-03-23,59.8318917156
2018-03-26,61.3005780828
2018-03-27,59.9685137032
2018-03-28,60.0112080743
2018-03-29,61.420122322
2018-04-02,59.4134868784
2018-04-03,60.2844520496
2018-04-04,61.2151893405
2018-04-05,61.5908998065
2018-04-06,60.0624413197
2018-04-09,60.3442241692
2018-04-10,61.3945056993
2018-04-11,60.5406182765
2018-04-12,61.1468783467
2018-04-13,60.2332188043
2018-04-16,61.1041839755
2018-04-17,61.4115834477
2018-04-18,61.5567443096
2018-04-19,62.581409217
2018-04-20,62.6070258397
2018-04-23,62.5984869654
2018-04-24,62.2483931221
2018-04-25,61.3603502024
2018-04-26,61.795832788
2018-04-27,60.8138622518
2018-04-30,60.8394788745
2018-05-01,60.2161410558
2018-05-02,60.1990633074
2018-05-03,59.4305646268
2018-05-04,60.5150016538
2018-05-07,61.3432724539
2018-05-08,62.2227764994
2018-05-09,63.2901357779
2018-05-10,63.9390902192
2018-05-11,64.3574950564
2018-05-14,64.4258060502
2018-05-15,65.1601492338
2018-05-16,66.1165031474
2018-05-17,66.4580581165
2018-05-18,65.9457256628
2018-05-21,66.4580581165
2018-05-22,66.7910742114
2018-05-23,66.1506586443
2018-05-24,65.9791061063
2018-05-25,65.1899644316
2018-05-29,62.4537014508
2018-05-30,63.457283798
2018-05-31,63.3543522752
2018-06-01,63.4830166787
2018-06-04,64.2978912341
2018-06-05,63.886165143
2018-06-06,64.7010396984
2018-06-07,64.7953935942
2018-06-08,64.6581515639
2018-06-11,64.563797668
2018-06-12,64.5981081756
2018-06-13,64.1949597113
2018-06-14,64.5037542797
2018-06-15,63.9633637851
2018-06-18,63.9805190389
2018-06-19,63.4229732904
2018-06-20,62.9340485572
2018-06-21,62.6424092426
2018-06-22,62.9769366917
2018-06-25,62.0076648521
2018-06-26,61.2356784312
2018-06-27,60.1291645612
2018-06-28,60.1806303226
2018-06-29,60.3950709951
2018-07-02,61.0298153856
2018-07-03,60.5065801448
2018-07-05,60.5408906524
2018-07-06,60.4208038758
2018-07-09,61.7760689258
