date,FLIR
2019-02-27,50.1918252273
2019-02-28,49.9008581245
2019-03-01,49.959051545
2019-03-04,49.7262778628
2019-03-05,49.3286228224
2019-03-06,49.0085590093
2019-03-07,48.5333127415
2019-03-08,48.0192708599
2019-03-11,49.0279568162
2019-03-12,48.9891612025
2019-03-13,49.1249458504
2019-03-14,49.0182579128
2019-03-15,48.6303017757
2019-03-18,47.7574004674
2019-03-19,46.97178929
2019-03-20,46.7293167043
2019-03-21,47.3209498133
2019-03-22,46.1085868851
2019-03-25,45.7982219755
2019-03-26,45.5266526796
2019-03-27,45.332674611
2019-03-28,45.9049099132
2019-03-29,46.1473824988
2019-04-01,47.291853103
2019-04-02,47.1172728414
2019-04-03,46.9911870968
2019-04-04,46.5062419255
2019-04-05,46.8844991591
2019-04-08,47.5343256887
2019-04-09,46.9911870968
2019-04-10,47.291853103
2019-04-11,47.8058949846
2019-04-12,48.339334673
2019-04-15,48.0095719565
2019-04-16,48.1065609908
2019-04-17,48.0289697634
2019-04-18,48.4751193209
2019-04-22,48.339334673
2019-04-23,49.1249458504
2019-04-24,51.8115420993
2019-04-25,50.4633945232
2019-04-26,49.9784493519
2019-04-29,50.9968342116
2019-04-30,51.3459947349
2019-05-01,51.394489252
2019-05-02,50.48279233
2019-05-03,51.2199089904
2019-05-06,50.9774364047
2019-05-07,50.5409857506
2019-05-08,50.1433307101
2019-05-09,50.2403197444
2019-05-10,49.8329658005
2019-05-13,47.9707763428
2019-05-14,48.3781302867
2019-05-15,48.3490335764
2019-05-16,48.6981940997
2019-05-17,48.0483675702
2019-05-20,47.4955300749
2019-05-21,48.1744533147
2019-05-22,49.4547085669
2019-05-23,47.8543895017
2019-05-24,48.0295733559
2019-05-28,47.6402759021
2019-05-29,47.1244567759
2019-05-30,47.494289357
2019-05-31,47.0368648488
2019-06-03,46.8908783037
2019-06-04,48.1950247737
2019-06-05,48.6427168455
2019-06-06,48.7497736453
2019-06-07,49.3434522623
2019-06-10,50.355625642
2019-06-11,50.4334851328
2019-06-12,50.073384988
2019-06-13,50.5405419325
2019-06-14,49.7522145887
