ticker,fonte,n_dias,ratio_medio,ratio_min,ratio_max,cv_pct,status
WAT,cache,251,1.0,1.0,1.0,0.0,ok
WHR,cache,251,0.662704,0.662703,0.662704,0.0,ok
WMT,cache,251,0.276724,0.276724,0.276725,0.0,ok
VAR,cache,251,1.0,1.0,1.0,0.0,ok
VFC,cache,251,0.69809,0.698089,0.69809,0.0,ok
VLO,cache,251,0.666183,0.666182,0.666184,0.0,ok
VMC,cache,251,0.915942,0.915942,0.915943,0.0,ok
XOM,cache,251,0.641032,0.641032,0.641033,0.0,ok
YUM,cache,251,0.59771,0.59771,0.597711,0.0,ok
ZBH,cache,251,0.892644,0.892643,0.892645,0.0,ok
ADBE,cache,251,1.0,1.0,1.0,0.0,ok
MSI,cache,251,0.853351,0.85335,0.853352,0.0,ok
MTB,cache,251,0.747812,0.747812,0.747813,0.0,ok
NEE,cache,251,0.192236,0.192236,0.192236,0.0,ok
NFX,cache,250,1.0,1.0,1.0,0.0,ok
NOC,cache,251,0.848415,0.848414,0.848415,0.0,ok
CI,cache,251,0.908716,0.908715,0.908716,0.0,ok
CL,cache,251,0.785818,0.785817,0.785819,0.0,ok
CLX,cache,251,0.739581,0.739581,0.739582,0.0,ok
OI,cache,251,0.980086,0.980086,0.980087,0.0,ok
OMC,cache,251,0.705111,0.70511,0.705111,0.0,ok
OXY,cache,251,0.744258,0.744257,0.744258,0.0,ok
MCK,cache,251,0.924313,0.924312,0.924313,0.0,ok
MCO,cache,251,0.903797,0.903796,0.903798,0.0,ok
MDT,cache,251,0.769403,0.769402,0.769404,0.0,ok
MHK,cache,251,1.0,1.0,1.0,0.0,ok
MKC,cache,251,0.411157,0.411157,0.411158,0.0,ok
MLM,cache,251,0.925488,0.925488,0.925489,0.0,ok
MMM,cache,251,0.598551,0.598551,0.598552,0.0,ok
MNK,cache,251,1.0,1.0,1.0,0.0,ok
CB,cache,251,0.833021,0.83302,0.833021,0.0,ok
CCI,cache,251,0.652186,0.652186,0.652187,0.0,ok
CELG,cache,251,1.0,1.0,1.0,0.0,ok
PH,cache,251,0.848624,0.848624,0.848625,0.0,ok
PM,cache,251,0.603135,0.603134,0.603135,0.0,ok
PNC,cache,251,0.717368,0.717367,0.717369,0.0,ok
PNW,cache,251,0.668415,0.668415,0.668416,0.0,ok
PPG,cache,251,0.823216,0.823215,0.823217,0.0,ok
PRGO,cache,251,0.788022,0.788021,0.788022,0.0,ok
PRU,cache,251,0.630709,0.630709,0.63071,0.0,ok
PSA,cache,251,0.666429,0.666429,0.666429,0.0,ok
LH,cache,251,0.818637,0.818636,0.818637,0.0,ok
LLY,cache,251,0.84088,0.840879,0.840881,0.0,ok
LMT,cache,251,0.761574,0.761573,0.761574,0.0,ok
LOW,cache,251,0.827434,0.827433,0.827434,0.0,ok
LVLT,cache,251,1.0,1.0,1.0,0.0,ok
MAC,cache,251,0.577507,0.577507,0.577508,0.0,ok
MCD,cache,251,0.779543,0.779543,0.779544,0.0,ok
JEC,cache,251,0.756054,0.756054,0.756054,0.0,ok
JNJ,cache,251,0.754089,0.754088,0.754089,0.0,ok
JPM,cache,251,0.760785,0.760784,0.760786,0.0,ok
KMB,cache,251,0.70276,0.702759,0.70276,0.0,ok
KMX,cache,251,1.0,1.0,1.0,0.0,ok
KORS,cache,251,1.0,1.0,1.0,0.0,ok
PSX,cache,251,0.680789,0.680789,0.68079,0.0,ok
PWR,cache,251,0.9807,0.980699,0.9807,0.0,ok
QRVO,cache,251,1.0,1.0,1.0,0.0,ok
R,cache,251,0.732427,0.732426,0.732427,0.0,ok
RCL,cache,251,0.885392,0.885391,0.885393,0.0,ok
RHT,cache,251,1.0,1.0,1.0,0.0,ok
RL,cache,251,0.816078,0.816078,0.816079,0.0,ok
ROK,cache,251,0.821049,0.821049,0.82105,0.0,ok
ROP,cache,251,0.939795,0.939795,0.939796,0.0,ok
COP,cache,251,0.724689,0.724688,0.72469,0.0,ok
CRM,cache,251,0.985531,0.985531,0.985531,0.0,ok
ITW,cache,251,0.786008,0.786007,0.786009,0.0,ok
HSY,cache,251,0.782761,0.78276,0.782762,0.0,ok
HUM,cache,251,0.918031,0.91803,0.918031,0.0,ok
IBM,cache,251,0.617159,0.617158,0.617159,0.0,ok
ICE,cache,251,0.175522,0.175522,0.175522,0.0,ok
