Date,PEAK
2021-08-12,27.142351150512695
2021-08-13,27.628137588500977
2021-08-16,27.473915100097656
2021-08-17,27.512470245361328
2021-08-18,27.227169036865234
2021-08-19,27.103796005249023
2021-08-20,27.111509323120117
2021-08-23,26.941864013671875
2021-08-24,27.103796005249023
2021-08-25,27.165481567382812
2021-08-26,27.111509323120117
2021-08-27,27.373672485351562
2021-08-30,27.605005264282227
2021-08-31,27.759218215942383
2021-09-01,28.167892456054688
2021-09-02,28.23729705810547
2021-09-03,28.029090881347656
2021-09-07,27.58186149597168
2021-09-08,28.029090881347656
2021-09-09,27.45849609375
2021-09-10,27.258007049560547
2021-09-13,27.35825538635254
2021-09-14,27.273433685302734
2021-09-15,27.196321487426758
2021-09-16,27.219453811645508
2021-09-17,26.864757537841797
2021-09-20,26.779935836791992
2021-09-21,26.564029693603516
2021-09-22,26.695110321044922
2021-09-23,26.60258674621582
2021-09-24,26.24788475036621
2021-09-27,25.924020767211914
2021-09-28,25.924020767211914
2021-09-29,26.224748611450195
2021-09-30,25.816076278686523
2021-10-01,26.132221221923828
2021-10-04,26.309566497802734
2021-10-05,25.87005043029785
2021-10-06,26.109086990356445
2021-10-07,26.047391891479492
2021-10-08,25.924020767211914
2021-10-11,26.039690017700195
2021-10-12,26.01655387878418
2021-10-13,26.209331512451172
2021-10-14,26.548614501953125
2021-10-15,26.710535049438477
2021-10-18,26.68740463256836
2021-10-19,26.556318283081055
2021-10-20,26.895597457885742
2021-10-21,26.81848907470703
2021-10-22,26.772228240966797
2021-10-25,26.556318283081055
2021-10-26,27.042104721069336
2021-10-27,27.497047424316406
2021-10-28,27.867170333862305
2021-10-29,27.381380081176758
2021-11-01,27.43536376953125
2021-11-02,27.281143188476562
2021-11-03,26.949581146240234
2021-11-04,26.440654754638672
2021-11-05,26.635129928588867
2021-11-08,26.448436737060547
2021-11-09,26.43286895751953
2021-11-10,26.440658569335938
2021-11-11,26.58845329284668
2021-11-12,26.300630569458008
2021-11-15,26.572898864746094
2021-11-16,26.58845329284668
2021-11-17,27.218547821044922
2021-11-18,27.09408187866211
2021-11-19,26.611791610717773
2021-11-22,26.35508918762207
2021-11-23,26.619577407836914
2021-11-24,26.985179901123047
2021-11-26,26.37064552307129
2021-11-29,26.49510383605957
2021-11-30,25.561634063720703
2021-12-01,25.289369583129883
2021-12-02,26.075048446655273
2021-12-03,26.05171012878418
2021-12-06,26.510663986206055
2021-12-07,26.58845329284668
2021-12-08,26.8607120513916
2021-12-09,26.557340621948242
2021-12-10,26.285078048706055
2021-12-13,26.775150299072266
2021-12-14,26.45621109008789
2021-12-15,26.790708541870117
2021-12-16,27.0318546295166
2021-12-17,27.164098739624023
2021-12-20,27.14076042175293
2021-12-21,27.366352081298828
2021-12-22,27.553041458129883
2021-12-23,27.374120712280273
2021-12-27,27.770854949951172
2021-12-28,27.910871505737305
2021-12-29,28.082008361816406
2021-12-30,28.004226684570312
2021-12-31,28.07423973083496
2022-01-03,28.105350494384766
