date,LLL
2019-06-14,246.76
2019-06-17,248.54
2019-06-18,254.31
2019-06-19,256.97
2019-06-20,258.8
2019-06-21,256.23
2019-06-24,256.36
2019-06-25,254.16
2019-06-26,248.29
2019-06-27,246.18
2019-06-28,245.17
