Date,L
2020-04-09,38.46760940551758
2020-04-13,36.515926361083984
2020-04-14,36.515926361083984
2020-04-15,33.72502517700195
2020-04-16,33.17856216430664
2020-04-17,35.26686096191406
2020-04-20,34.1251335144043
2020-04-21,32.89555740356445
2020-04-22,32.95410919189453
2020-04-23,32.12466049194336
2020-04-24,31.617212295532227
2020-04-27,31.77335548400879
2020-04-28,33.28590774536133
2020-04-29,35.81333541870117
2020-04-30,33.82261276245117
2020-05-01,30.85605812072754
2020-05-04,30.99267578125
2020-05-05,30.046117782592773
2020-05-06,28.962934494018555
2020-05-07,29.60698890686035
2020-05-08,30.270559310913086
2020-05-11,29.284961700439453
2020-05-12,28.88486671447754
2020-05-13,28.10418701171875
2020-05-14,28.387178421020508
2020-05-15,29.08978843688965
2020-05-18,30.885339736938477
2020-05-19,30.309589385986328
2020-05-20,31.41228675842285
2020-05-21,31.314706802368164
2020-05-22,31.139053344726562
2020-05-26,32.3055305480957
2020-05-27,33.478858947753906
2020-05-28,33.029083251953125
2020-05-29,32.50109100341797
2020-06-01,33.0192985534668
2020-06-02,33.86996078491211
2020-06-03,34.691307067871094
2020-06-04,35.68861770629883
2020-06-05,38.21126937866211
2020-06-08,39.06192398071289
2020-06-09,37.40950012207031
2020-06-10,35.3659553527832
2020-06-11,31.47442626953125
2020-06-12,32.28598403930664
2020-06-15,32.83354949951172
2020-06-16,33.16596603393555
2020-06-17,32.657535552978516
2020-06-18,33.12685775756836
2020-06-19,33.95796585083008
2020-06-22,33.302860260009766
2020-06-23,33.57663345336914
2020-06-24,32.43264389038086
2020-06-25,33.08774948120117
2020-06-26,32.08064651489258
2020-06-29,32.94108581542969
2020-06-30,33.52775573730469
2020-07-01,32.7944221496582
2020-07-02,32.94108581542969
2020-07-06,33.75263595581055
2020-07-07,32.921531677246094
2020-07-08,33.16596603393555
2020-07-09,32.09042739868164
2020-07-10,33.73308181762695
2020-07-13,33.89929962158203
2020-07-14,34.73040008544922
2020-07-15,35.248619079589844
2020-07-16,35.43440628051758
2020-07-17,35.3659553527832
2020-07-20,34.652183532714844
2020-07-21,35.63972854614258
2020-07-22,35.85483169555664
2020-07-23,36.236167907714844
2020-07-24,36.05039596557617
2020-07-27,35.4735107421875
2020-07-28,35.5712890625
2020-07-29,36.539276123046875
2020-07-30,35.71795654296875
2020-07-31,35.600616455078125
2020-08-03,34.808616638183594
2020-08-04,34.59351348876953
2020-08-05,35.6690673828125
2020-08-06,35.69839859008789
2020-08-07,36.92061233520508
2020-08-10,37.74193572998047
2020-08-11,37.751712799072266
2020-08-12,37.29217529296875
2020-08-13,37.018394470214844
2020-08-14,36.77394485473633
2020-08-17,35.98194885253906
2020-08-18,35.622493743896484
2020-08-19,35.46578598022461
2020-08-20,34.87812042236328
2020-08-21,34.59407043457031
2020-08-24,35.85757064819336
2020-08-25,35.73023223876953
2020-08-26,35.16215515136719
2020-08-27,36.02407455444336
2020-08-28,36.16118621826172
2020-08-31,35.12297821044922
2020-09-01,35.42660903930664
2020-09-02,35.8477668762207
2020-09-03,35.86735153198242
2020-09-04,36.11221694946289
2020-09-08,34.897705078125
2020-09-09,35.07400894165039
2020-09-10,34.43737030029297
2020-09-11,34.54510498046875
2020-09-14,35.35803985595703
2020-09-15,34.662635803222656
2020-09-16,36.308101654052734
2020-09-17,36.22974395751953
2020-09-18,35.935916900634766
2020-09-21,34.104347229003906
2020-09-22,34.00640869140625
2020-09-23,32.85066604614258
2020-09-24,32.85066604614258
2020-09-25,32.98777770996094
2020-09-28,34.01619338989258
2020-09-29,33.497108459472656
2020-09-30,34.03578567504883
2020-10-01,34.14353561401367
2020-10-02,34.770381927490234
2020-10-05,35.40701675415039
2020-10-06,34.770381927490234
2020-10-07,35.35803985595703
2020-10-08,36.22974395751953
2020-10-09,36.21995544433594
2020-10-12,36.59214782714844
2020-10-13,35.142574310302734
2020-10-14,34.62345886230469
2020-10-15,34.90749740600586
2020-10-16,35.00543975830078
2020-10-19,34.221885681152344
2020-10-20,34.515724182128906
2020-10-21,34.86832046508789
2020-10-22,35.19153594970703
2020-10-23,35.48536682128906
2020-10-26,34.40798568725586
2020-10-27,33.4481201171875
2020-10-28,32.576416015625
2020-10-29,33.516685485839844
2020-10-30,33.967227935791016
2020-11-02,36.56277084350586
2020-11-03,37.11125183105469
2020-11-04,35.66166687011719
2020-11-05,37.11125183105469
2020-11-06,36.91537094116211
2020-11-09,41.67547607421875
2020-11-10,41.489376068115234
2020-11-11,40.5001335144043
2020-11-12,40.2063102722168
2020-11-13,41.43061447143555
2020-11-16,42.73329162597656
2020-11-17,42.772464752197266
2020-11-18,42.18478775024414
2020-11-19,41.93992614746094
2020-11-20,41.53834915161133
2020-11-23,42.635337829589844
2020-11-24,44.03110885620117
2020-11-25,43.52106857299805
2020-11-27,42.57942199707031
2020-11-30,41.108131408691406
2020-12-01,41.745697021484375
2020-12-02,41.755496978759766
2020-12-03,41.804542541503906
2020-12-04,42.520572662353516
2020-12-07,41.941871643066406
2020-12-08,42.54018783569336
2020-12-09,42.334205627441406
2020-12-10,42.82464599609375
2020-12-11,42.82464599609375
2020-12-14,42.04976272583008
2020-12-15,43.4818115234375
2020-12-16,43.51125717163086
2020-12-17,43.560298919677734
2020-12-18,42.96196365356445
2020-12-21,42.932533264160156
2020-12-22,42.226314544677734
2020-12-23,43.256229400634766
2020-12-24,43.15813446044922
2020-12-28,43.570098876953125
2020-12-29,43.216983795166016
2020-12-30,43.570098876953125
2020-12-31,44.15861892700195
2021-01-04,43.55048370361328
2021-01-05,43.86436462402344
2021-01-06,45.97322463989258
2021-01-07,45.85552215576172
2021-01-08,45.68877410888672
2021-01-11,45.65934753417969
2021-01-12,46.02227020263672
2021-01-13,46.23806381225586
2021-01-14,46.49308395385742
2021-01-15,46.2870979309082
2021-01-19,46.650028228759766
2021-01-20,46.44403839111328
2021-01-21,45.639732360839844
2021-01-22,45.600502014160156
2021-01-25,45.83590316772461
2021-01-26,45.33565902709961
2021-01-27,44.4823112487793
2021-01-28,45.15910339355469
2021-01-29,44.42345428466797
2021-02-01,45.00216293334961
2021-02-02,45.28661346435547
2021-02-03,46.002647399902344
2021-02-04,46.89524459838867
2021-02-05,46.885433197021484
2021-02-08,47.49357223510742
2021-02-09,47.1796875
2021-02-10,47.07180404663086
2021-02-11,47.29738998413086
2021-02-12,47.68974304199219
2021-02-16,47.836875915527344
2021-02-17,47.5916633605957
2021-02-18,46.453861236572266
2021-02-19,47.14045715332031
2021-02-22,48.53329086303711
2021-02-23,49.54780960083008
2021-02-24,49.479068756103516
2021-02-25,47.85857391357422
2021-02-26,46.95503234863281
2021-03-01,48.63444900512695
2021-03-02,48.4969482421875
2021-03-03,48.70319366455078
2021-03-04,48.08445358276367
2021-03-05,49.15496826171875
2021-03-08,49.30228805541992
2021-03-09,48.290706634521484
2021-03-10,49.59691619873047
2021-03-11,49.312103271484375
2021-03-12,50.64778518676758
2021-03-15,51.09955596923828
2021-03-16,50.46118927001953
2021-03-17,51.187957763671875
2021-03-18,51.91472244262695
2021-03-19,51.46294021606445
2021-03-22,50.77546310424805
2021-03-23,50.10761642456055
2021-03-24,49.989776611328125
2021-03-25,51.070091247558594
2021-03-26,51.718299865722656
2021-03-29,51.20759201049805
2021-03-30,51.728111267089844
2021-03-31,50.36297607421875
2021-04-01,51.31562423706055
2021-04-05,51.79685974121094
2021-04-06,52.111141204833984
2021-04-07,52.39595031738281
2021-04-08,52.062034606933594
2021-04-09,52.65130615234375
2021-04-12,53.211116790771484
2021-04-13,52.5334587097168
2021-04-14,53.05397033691406
2021-04-15,53.06379318237305
2021-04-16,53.397708892822266
2021-04-19,53.289676666259766
2021-04-20,52.965572357177734
2021-04-21,53.82984161376953
2021-04-22,53.309329986572266
2021-04-23,54.222694396972656
2021-04-26,54.24232864379883
2021-04-27,54.566436767578125
2021-04-28,54.399478912353516
2021-04-29,55.14588165283203
2021-04-30,54.75304412841797
2021-05-03,56.01996612548828
2021-05-04,56.45208740234375
2021-05-05,56.255672454833984
2021-05-06,57.13957595825195
2021-05-07,57.394935607910156
2021-05-10,57.38511276245117
2021-05-11,56.677982330322266
2021-05-12,55.646759033203125
2021-05-13,57.11012649536133
2021-05-14,57.87616729736328
2021-05-17,57.40475082397461
2021-05-18,57.10029220581055
2021-05-19,57.16904067993164
2021-05-20,56.72709274291992
2021-05-21,56.70745849609375
2021-05-24,57.53242492675781
2021-05-25,56.3948860168457
2021-05-26,56.56203079223633
2021-05-27,57.20109939575195
2021-05-28,57.397735595703125
2021-06-01,57.515708923339844
2021-06-02,57.30923843383789
2021-06-03,57.2109260559082
2021-06-04,57.083126068115234
2021-06-07,56.34573745727539
2021-06-08,56.38505935668945
2021-06-09,55.500213623046875
2021-06-10,54.97911834716797
2021-06-11,55.30356979370117
2021-06-14,54.88080596923828
2021-06-15,55.55919647216797
2021-06-16,55.18559265136719
2021-06-17,53.54369354248047
2021-06-18,52.118080139160156
2021-06-21,53.64200973510742
2021-06-22,53.50434875488281
2021-06-23,53.31755447387695
2021-06-24,54.19257736206055
2021-06-25,54.68416213989258
2021-06-28,53.59284210205078
2021-06-29,53.49452590942383
2021-06-30,53.73048782348633
2021-07-01,54.27123260498047
2021-07-02,54.06477355957031
2021-07-06,53.00293731689453
2021-07-07,53.18973922729492
2021-07-08,51.990272521972656
2021-07-09,53.789485931396484
2021-07-12,54.123756408691406
2021-07-13,53.347042083740234
2021-07-14,53.48469543457031
2021-07-15,53.67150115966797
2021-07-16,53.111083984375
2021-07-19,50.88910675048828
2021-07-20,52.43270492553711
2021-07-21,53.199581146240234
2021-07-22,52.619503021240234
2021-07-23,52.66865921020508
2021-07-26,53.06193542480469
2021-07-27,52.84562683105469
2021-07-28,52.35404968261719
2021-07-29,52.95378494262695
2021-07-30,52.7276611328125
2021-08-02,52.747314453125
2021-08-03,52.67848205566406
2021-08-04,52.118080139160156
2021-08-05,53.111083984375
2021-08-06,54.00577163696289
2021-08-09,54.17291259765625
2021-08-10,54.65467834472656
2021-08-11,55.23476028442383
2021-08-12,55.205265045166016
2021-08-13,54.703834533691406
2021-08-16,54.51702880859375
2021-08-17,54.510135650634766
2021-08-18,53.8408203125
2021-08-19,53.79160690307617
2021-08-20,54.15579605102539
2021-08-23,54.598724365234375
2021-08-24,54.70699691772461
2021-08-25,55.37631607055664
2021-08-26,54.726688385009766
2021-08-27,55.64208221435547
2021-08-30,54.95307922363281
2021-08-31,54.99244689941406
2021-09-01,54.78575134277344
2021-09-02,54.598724365234375
2021-09-03,53.89987564086914
2021-09-07,54.05736541748047
2021-09-08,54.362491607666016
2021-09-09,53.722713470458984
2021-09-10,52.649837493896484
2021-09-13,53.20103073120117
2021-09-14,52.344696044921875
2021-09-15,53.122283935546875
2021-09-16,52.807315826416016
2021-09-17,52.24627685546875
2021-09-20,51.439151763916016
2021-09-21,50.88795471191406
2021-09-22,51.54741287231445
2021-09-23,52.10846710205078
2021-09-24,52.12815856933594
2021-09-27,53.07307434082031
2021-09-28,52.54155349731445
2021-09-29,53.48648452758789
2021-09-30,53.08292770385742
2021-10-01,54.40186309814453
2021-10-04,54.16564178466797
2021-10-05,55.39600372314453
2021-10-06,55.6912956237793
2021-10-07,56.03579330444336
2021-10-08,56.518104553222656
2021-10-11,55.89799499511719
2021-10-12,55.996421813964844
2021-10-13,55.277889251708984
2021-10-14,56.19328689575195
2021-10-15,56.7149543762207
2021-10-18,56.173583984375
2021-10-19,56.567317962646484
2021-10-20,57.16774368286133
2021-10-21,56.59684371948242
2021-10-22,56.65591049194336
