Date,DPZ
2021-05-11,395.468017578125
2021-05-12,398.3708190917969
2021-05-13,395.5241394042969
2021-05-14,400.10302734375
2021-05-17,405.3186950683594
2021-05-18,405.3186950683594
2021-05-19,404.466552734375
2021-05-20,401.64801025390625
2021-05-21,400.4401550292969
2021-05-24,394.11968994140625
2021-05-25,394.2507019042969
2021-05-26,393.9229431152344
2021-05-27,396.9942626953125
2021-05-28,399.709716796875
2021-06-01,396.0860290527344
2021-06-02,399.0823974609375
2021-06-03,398.07110595703125
2021-06-04,403.7080993652344
2021-06-07,410.0567321777344
2021-06-08,415.1505126953125
2021-06-09,414.5419006347656
2021-06-10,419.8980407714844
2021-06-11,424.13970947265625
2021-06-14,420.5177917480469
2021-06-15,418.26593017578125
2021-06-16,419.9830017089844
2021-06-17,429.0002746582031
2021-06-18,431.8058776855469
2021-06-21,431.120849609375
2021-06-22,431.4586181640625
2021-06-23,428.5780334472656
2021-06-24,431.4492492675781
2021-06-25,429.7322082519531
2021-06-28,434.9398498535156
2021-06-29,434.8647766113281
2021-06-30,437.71728515625
2021-07-01,437.2762145996094
2021-07-02,444.9892272949219
2021-07-06,447.2130126953125
2021-07-07,448.68621826171875
2021-07-08,445.28009033203125
2021-07-09,448.1045227050781
2021-07-12,450.49725341796875
2021-07-13,455.7236633300781
2021-07-14,455.3858947753906
2021-07-15,454.9354553222656
2021-07-16,452.9086608886719
2021-07-19,448.9771423339844
2021-07-20,445.6742858886719
2021-07-21,441.3580017089844
2021-07-22,505.5860595703125
2021-07-23,493.04071044921875
2021-07-26,501.3636169433594
2021-07-27,504.825927734375
2021-07-28,492.2148742675781
2021-07-29,493.7160949707031
2021-07-30,493.07818603515625
2021-08-02,497.6478271484375
2021-08-03,507.1342468261719
2021-08-04,503.57806396484375
2021-08-05,502.45196533203125
2021-08-06,500.5379638671875
2021-08-09,496.812744140625
2021-08-10,486.9228515625
2021-08-11,483.5448913574219
2021-08-12,484.6239318847656
2021-08-13,485.130615234375
2021-08-16,481.5368347167969
2021-08-17,495.1988220214844
2021-08-18,493.2001953125
2021-08-19,486.3504333496094
2021-08-20,478.0932312011719
2021-08-23,478.0932312011719
2021-08-24,470.6429748535156
2021-08-25,480.5516052246094
2021-08-26,479.09722900390625
2021-08-27,480.29827880859375
2021-08-30,485.3464660644531
2021-08-31,485.0086669921875
2021-09-01,483.6105651855469
2021-09-02,485.38397216796875
2021-09-03,482.7660827636719
2021-09-07,482.3155822753906
2021-09-08,489.2122802734375
2021-09-09,484.2861022949219
2021-09-10,479.35992431640625
2021-09-13,479.57574462890625
2021-09-14,476.5675964355469
2021-09-15,475.25152587890625
2021-09-16,480.562744140625
2021-09-17,473.35260009765625
2021-09-20,467.2611083984375
2021-09-21,468.28570556640625
2021-09-22,465.8133544921875
2021-09-23,463.2658996582031
2021-09-24,460.47381591796875
2021-09-27,458.02044677734375
2021-09-28,455.839599609375
2021-09-29,454.0439147949219
2021-09-30,448.3661193847656
2021-10-01,446.58941650390625
2021-10-04,442.6788024902344
2021-10-05,446.1664123535156
2021-10-06,453.72442626953125
2021-10-07,453.7713928222656
2021-10-08,451.5246887207031
2021-10-11,450.7349853515625
2021-10-12,451.2708740234375
2021-10-13,447.7268981933594
2021-10-14,448.85491943359375
2021-10-15,427.6380920410156
2021-10-18,432.328857421875
2021-10-19,437.47088623046875
2021-10-20,431.08795166015625
2021-10-21,439.9056396484375
2021-10-22,436.4932861328125
2021-10-25,438.28875732421875
2021-10-26,437.8563537597656
2021-10-27,451.4776306152344
2021-10-28,450.593994140625
2021-10-29,459.65606689453125
2021-11-01,458.16131591796875
2021-11-02,457.68206787109375
2021-11-03,456.1684265136719
2021-11-04,478.842529296875
2021-11-05,466.1518859863281
2021-11-08,466.89453125
2021-11-09,468.6053466796875
2021-11-10,465.465576171875
2021-11-11,476.5675964355469
2021-11-12,482.52752685546875
2021-11-15,486.30657958984375
2021-11-16,493.76104736328125
2021-11-17,499.61761474609375
2021-11-18,504.6468505859375
2021-11-19,503.4812316894531
2021-11-22,501.3848876953125
2021-11-23,500.0218200683594
2021-11-24,501.9677734375
2021-11-26,498.1136169433594
2021-11-29,501.9395446777344
2021-11-30,492.71771240234375
2021-12-01,480.9764099121094
2021-12-02,493.526123046875
2021-12-03,490.4897766113281
2021-12-06,486.0809326171875
2021-12-07,505.2109375
2021-12-08,502.1463928222656
2021-12-09,498.4989929199219
2021-12-10,502.3812561035156
2021-12-13,505.1451110839844
2021-12-14,492.6488342285156
2021-12-15,493.3738708496094
2021-12-16,501.1711730957031
2021-12-17,497.5738830566406
2021-12-20,499.6737976074219
2021-12-21,499.061767578125
2021-12-22,503.6478271484375
2021-12-23,514.015869140625
2021-12-27,524.7230834960938
2021-12-28,525.2503662109375
2021-12-29,529.6103515625
2021-12-30,524.9111938476562
2021-12-31,531.4278564453125
2022-01-03,520.9656372070312
2022-01-04,504.0716247558594
2022-01-05,490.1816101074219
2022-01-06,493.83526611328125
2022-01-07,478.7869873046875
2022-01-10,473.3439636230469
2022-01-11,458.0602111816406
2022-01-12,458.5028381347656
2022-01-13,453.3328857421875
2022-01-14,445.4602966308594
2022-01-18,439.2639465332031
2022-01-19,442.023193359375
2022-01-20,425.9012756347656
2022-01-21,409.4593200683594
2022-01-24,429.63983154296875
2022-01-25,410.9188537597656
2022-01-26,398.9970703125
2022-01-27,404.5341796875
2022-01-28,415.2977294921875
2022-01-31,428.1425476074219
2022-02-01,431.5797424316406
2022-02-02,425.590576171875
2022-02-03,417.91571044921875
2022-02-04,412.5292663574219
2022-02-07,409.0354309082031
2022-02-08,413.15069580078125
2022-02-09,418.8291320800781
2022-02-10,413.0093994140625
2022-02-11,406.36102294921875
2022-02-14,405.59832763671875
2022-02-15,406.8131408691406
2022-02-16,408.0749816894531
2022-02-17,405.4288024902344
2022-02-18,410.2220153808594
2022-02-22,397.4996643066406
2022-02-23,378.6468811035156
2022-02-24,393.0737609863281
2022-02-25,404.9108581542969
2022-02-28,407.0108642578125
2022-03-01,407.0108642578125
2022-03-02,398.5732421875
2022-03-03,379.19317626953125
2022-03-04,389.58941650390625
2022-03-07,376.74468994140625
2022-03-08,370.22821044921875
2022-03-09,374.0325927734375
2022-03-10,370.21881103515625
2022-03-11,363.8434753417969
2022-03-14,364.7028503417969
2022-03-15,368.2254333496094
2022-03-16,382.9200439453125
2022-03-17,386.6881408691406
2022-03-18,392.5433044433594
2022-03-21,377.80145263671875
2022-03-22,374.76055908203125
2022-03-23,372.03131103515625
2022-03-24,371.3325500488281
2022-03-25,372.7867736816406
2022-03-28,376.8759765625
2022-03-29,389.09637451171875
2022-03-30,383.675537109375
2022-03-31,384.3743896484375
2022-04-01,375.0910949707031
2022-04-04,381.3335266113281
2022-04-05,369.41534423828125
2022-04-06,369.3492431640625
2022-04-07,375.29888916015625
2022-04-08,372.8340148925781
2022-04-11,366.34613037109375
2022-04-12,366.95989990234375
2022-04-13,370.3502502441406
2022-04-14,365.7038879394531
2022-04-18,358.3849182128906
2022-04-19,372.16351318359375
2022-04-20,374.439453125
2022-04-21,369.25482177734375
2022-04-22,357.7616882324219
2022-04-25,357.12884521484375
2022-04-26,349.1677551269531
2022-04-27,352.1708679199219
2022-04-28,334.19915771484375
2022-04-29,319.20233154296875
2022-05-02,331.59271240234375
2022-05-03,324.717529296875
2022-05-04,333.5570983886719
2022-05-05,322.6871643066406
2022-05-06,322.78155517578125
2022-05-09,315.0470275878906
2022-05-10,317.04913330078125
2022-05-11,307.04815673828125
2022-05-12,309.6169128417969
2022-05-13,321.9788513183594
2022-05-16,317.7385559082031
2022-05-17,317.7479553222656
2022-05-18,309.77734375
2022-05-19,317.7196350097656
2022-05-20,322.6871643066406
2022-05-23,323.9337463378906
2022-05-24,323.14044189453125
2022-05-25,332.9620361328125
2022-05-26,335.8330383300781
2022-05-27,345.5601806640625
2022-05-31,342.9725341796875
2022-06-01,340.78155517578125
2022-06-02,352.1330871582031
2022-06-03,347.6473083496094
2022-06-06,356.2884216308594
2022-06-07,363.85296630859375
2022-06-08,362.64410400390625
2022-06-09,364.0039978027344
2022-06-10,359.3387756347656
2022-06-13,359.4615478515625
2022-06-14,357.18841552734375
2022-06-15,365.0400695800781
2022-06-16,359.4804382324219
2022-06-17,359.1205749511719
2022-06-21,365.9302978515625
2022-06-22,369.1505432128906
2022-06-23,377.0780334472656
2022-06-24,375.5720520019531
2022-06-27,376.5570983886719
2022-06-28,370.05035400390625
2022-06-29,368.4687194824219
2022-06-30,369.1031494140625
2022-07-01,382.2681579589844
2022-07-05,375.81829833984375
2022-07-06,376.547607421875
2022-07-07,384.09619140625
2022-07-08,380.12774658203125
2022-07-11,376.2445068359375
2022-07-12,370.7890930175781
2022-07-13,380.14666748046875
2022-07-14,378.0440673828125
2022-07-15,385.10015869140625
2022-07-18,385.2990417480469
2022-07-19,388.5476379394531
2022-07-20,389.1348571777344
2022-07-21,384.19091796875
2022-07-22,378.1576843261719
2022-07-25,367.47412109375
2022-07-26,366.2997131347656
2022-07-27,372.2097473144531
2022-07-28,369.20733642578125
2022-07-29,371.3762512207031
2022-08-01,369.4915771484375
2022-08-02,370.39129638671875
2022-08-03,370.2398376464844
2022-08-04,370.6470031738281
2022-08-05,367.4173583984375
2022-08-08,374.0093078613281
2022-08-09,371.802490234375
2022-08-10,384.2950744628906
2022-08-11,382.7607421875
2022-08-12,390.44189453125
2022-08-15,389.1348571777344
2022-08-16,389.201171875
2022-08-17,390.205078125
2022-08-18,394.90283203125
2022-08-19,383.7742004394531
2022-08-22,379.9951171875
2022-08-23,371.707763671875
2022-08-24,375.96978759765625
2022-08-25,385.4505615234375
2022-08-26,369.64306640625
2022-08-29,358.4955139160156
2022-08-30,360.2570495605469
2022-08-31,352.1970520019531
2022-09-01,351.9697570800781
2022-09-02,346.4574890136719
2022-09-06,343.5877380371094
2022-09-07,343.4361877441406
2022-09-08,342.8583984375
2022-09-09,347.7077331542969
2022-09-12,345.1694641113281
2022-09-13,331.85296630859375
2022-09-14,323.30194091796875
2022-09-15,332.0714111328125
2022-09-16,325.8576965332031
2022-09-19,316.3660888671875
2022-09-20,315.767578125
2022-09-21,316.5752258300781
2022-09-22,304.1668395996094
2022-09-23,313.5348815917969
2022-09-26,308.5372619628906
2022-09-27,298.5137023925781
2022-09-28,305.1548767089844
2022-09-29,300.56591796875
2022-09-30,294.7227478027344
2022-10-03,300.6513671875
2022-10-04,314.1143798828125
2022-10-05,318.4088439941406
