Date,AAP
2019-08-27,118.3130874633789
2019-08-28,119.9532699584961
2019-08-29,121.10232543945312
2019-08-30,120.99703979492188
2019-09-03,123.11088562011719
2019-09-04,124.45284271240234
2019-09-05,128.5402374267578
2019-09-06,129.11907958984375
2019-09-09,129.31204223632812
2019-09-10,135.68861389160156
2019-09-11,139.33738708496094
2019-09-12,136.12721252441406
2019-09-13,137.7059783935547
2019-09-16,136.89024353027344
2019-09-17,136.89024353027344
2019-09-18,134.89041137695312
2019-09-19,134.07443237304688
2019-09-20,136.61026000976562
2019-09-23,141.46255493164062
2019-09-24,139.7076416015625
2019-09-25,142.3926544189453
2019-09-26,140.7255096435547
2019-09-27,141.8662109375
2019-09-30,145.13031005859375
2019-10-01,146.7886962890625
2019-10-02,142.9893341064453
2019-10-03,140.26922607421875
2019-10-04,140.33944702148438
2019-10-07,138.87408447265625
2019-10-08,135.41693115234375
2019-10-09,135.48712158203125
2019-10-10,136.83837890625
2019-10-11,139.1284942626953
2019-10-14,138.04054260253906
2019-10-15,140.1551513671875
2019-10-16,142.80506896972656
2019-10-17,143.6825408935547
2019-10-18,143.4631805419922
2019-10-21,145.68310546875
2019-10-22,145.6392364501953
2019-10-23,144.8845672607422
2019-10-24,146.36752319335938
2019-10-25,145.27066040039062
2019-10-28,146.01654052734375
2019-10-29,144.20892333984375
2019-10-30,143.87557983398438
2019-10-31,142.56809997558594
2019-11-01,144.62135314941406
2019-11-04,146.19198608398438
2019-11-05,147.53448486328125
2019-11-06,148.9033660888672
2019-11-07,148.53475952148438
2019-11-08,146.8851776123047
2019-11-11,148.1311798095703
2019-11-12,137.00514221191406
2019-11-13,139.14605712890625
2019-11-14,137.6105499267578
2019-11-15,142.72604370117188
2019-11-18,143.6123046875
2019-11-19,142.1294403076172
2019-11-20,141.91880798339844
2019-11-21,138.9267578125
2019-11-22,138.52304077148438
2019-11-25,139.64622497558594
2019-11-26,137.8386688232422
2019-11-27,139.32156372070312
2019-11-29,137.8299102783203
2019-12-02,137.3648681640625
2019-12-03,133.90771484375
2019-12-04,133.66201782226562
2019-12-05,133.62692260742188
2019-12-06,135.67141723632812
2019-12-09,132.99513244628906
2019-12-10,137.0314483642578
2019-12-11,136.7945098876953
2019-12-12,136.98756408691406
2019-12-13,136.1890869140625
2019-12-16,134.68861389160156
2019-12-17,138.61962890625
2019-12-18,138.66351318359375
2019-12-19,137.35557556152344
2019-12-20,138.79513549804688
2019-12-23,140.41905212402344
2019-12-24,140.9457244873047
2019-12-26,139.80462646484375
2019-12-27,138.99705505371094
2019-12-30,139.6729278564453
2019-12-31,140.58587646484375
2020-01-02,139.92752075195312
2020-01-03,139.93624877929688
2020-01-06,137.63653564453125
2020-01-07,136.0038299560547
2020-01-08,134.4413604736328
2020-01-09,134.18679809570312
2020-01-10,130.79855346679688
2020-01-13,127.50682830810547
2020-01-14,130.7019805908203
2020-01-15,131.85191345214844
2020-01-16,133.37045288085938
2020-01-17,132.58920288085938
2020-01-21,130.789794921875
2020-01-22,129.604736328125
2020-01-23,131.4305419921875
2020-01-24,124.36436462402344
2020-01-27,122.06459045410156
2020-01-28,121.6432876586914
2020-01-29,121.61693572998047
2020-01-30,118.7378158569336
2020-01-31,115.64800262451172
2020-02-03,116.43800354003906
2020-02-04,115.48121643066406
2020-02-05,120.27394104003906
2020-02-06,117.94780731201172
2020-02-07,116.68379974365234
