Date,PLD
2021-08-06,113.11697387695312
2021-08-09,113.37859344482422
2021-08-10,112.80304718017578
2021-08-11,112.41059112548828
2021-08-12,113.43093872070312
2021-08-13,115.0965805053711
2021-08-16,116.58782958984375
2021-08-17,116.92794036865234
2021-08-18,115.5500717163086
2021-08-19,116.11693572998047
2021-08-20,117.07621002197266
2021-08-23,116.32622528076172
2021-08-24,114.02394104003906
2021-08-25,113.83206939697266
2021-08-26,113.91057586669922
2021-08-27,114.5123062133789
2021-08-30,116.62272644042969
2021-08-31,117.43376159667969
2021-09-01,120.16333770751953
2021-09-02,120.7563705444336
2021-09-03,121.2098617553711
2021-09-07,120.0412826538086
2021-09-08,120.81739807128906
2021-09-09,117.48609924316406
2021-09-10,116.5355224609375
2021-09-13,115.79426574707031
2021-09-14,115.59367370605469
2021-09-15,116.23900604248047
2021-09-16,116.1689224243164
2021-09-17,114.0046615600586
2021-09-20,113.08463287353516
2021-09-21,112.900634765625
2021-09-22,113.91703033447266
2021-09-23,112.89185333251953
2021-09-24,112.06820678710938
2021-09-27,110.56990051269531
2021-09-28,110.03539276123047
2021-09-29,110.78894805908203
2021-09-30,109.90396881103516
2021-10-01,110.78015899658203
2021-10-04,111.13067626953125
2021-10-05,110.78015899658203
2021-10-06,111.97184753417969
2021-10-07,113.36502838134766
2021-10-08,112.62023162841797
2021-10-11,112.97948455810547
2021-10-12,115.91483306884766
2021-10-13,117.32554626464844
2021-10-14,118.92899322509766
2021-10-15,120.02428436279297
2021-10-18,122.48644256591797
2021-10-19,121.89936828613281
2021-10-20,125.66712951660156
2021-10-21,126.99897003173828
2021-10-22,126.1753158569336
2021-10-25,127.13916778564453
2021-10-26,128.12925720214844
2021-10-27,126.05266571044922
2021-10-28,128.51480102539062
2021-10-29,127.01649475097656
2021-11-01,126.81498718261719
2021-11-02,128.83026123046875
2021-11-03,129.37351989746094
2021-11-04,129.56629943847656
2021-11-05,128.5323486328125
2021-11-08,129.74154663085938
2021-11-09,130.07449340820312
2021-11-10,130.35487365722656
2021-11-11,130.47755432128906
2021-11-12,130.38990783691406
2021-11-15,131.60787963867188
2021-11-16,130.96824645996094
2021-11-17,131.7655792236328
2021-11-18,131.94082641601562
2021-11-19,131.62538146972656
2021-11-22,132.22122192382812
2021-11-23,133.6932830810547
2021-11-24,135.38436889648438
2021-11-26,131.32748413085938
2021-11-29,134.30662536621094
2021-11-30,132.08978271484375
2021-12-01,132.9221954345703
2021-12-02,135.3054962158203
2021-12-03,135.5157928466797
2021-12-06,137.1718292236328
2021-12-07,139.58145141601562
2021-12-08,139.70411682128906
2021-12-09,138.05682373046875
2021-12-10,139.38868713378906
2021-12-13,141.70228576660156
2021-12-14,139.6349639892578
2021-12-15,143.00424194335938
2021-12-16,143.61123657226562
2021-12-17,141.79026794433594
2021-12-20,141.97499084472656
2021-12-21,141.4471893310547
2021-12-22,142.74032592773438
2021-12-23,142.2917022705078
2021-12-27,145.93365478515625
2021-12-28,145.84568786621094
2021-12-29,147.50831604003906
2021-12-30,147.76345825195312
2021-12-31,148.1065216064453
2022-01-03,145.06275939941406
2022-01-04,141.6319122314453
2022-01-05,138.68490600585938
2022-01-06,137.73484802246094
2022-01-07,135.23643493652344
2022-01-10,134.61192321777344
2022-01-11,134.58551025390625
2022-01-12,134.80543518066406
2022-01-13,134.72622680664062
2022-01-14,134.36557006835938
2022-01-18,134.97256469726562
2022-01-19,135.1133270263672
2022-01-20,135.5971221923828
2022-01-21,136.7319793701172
2022-01-24,134.8670196533203
2022-01-25,135.43881225585938
2022-01-26,133.46827697753906
2022-01-27,130.732421875
2022-01-28,136.41531372070312
2022-01-31,137.95474243164062
2022-02-01,135.05178833007812
2022-02-02,138.40338134765625
2022-02-03,137.6205291748047
2022-02-04,135.0253448486328
2022-02-07,133.7585906982422
2022-02-08,133.00205993652344
2022-02-09,136.67921447753906
2022-02-10,130.57408142089844
2022-02-11,128.70909118652344
2022-02-14,127.8558120727539
2022-02-15,128.1021270751953
2022-02-16,127.01128387451172
2022-02-17,126.04362487792969
2022-02-18,125.40142822265625
2022-02-22,125.24308776855469
2022-02-23,123.82674407958984
2022-02-24,126.08758544921875
2022-02-25,130.5916748046875
2022-02-28,128.304443359375
2022-03-01,128.22528076171875
2022-03-02,129.87908935546875
2022-03-03,131.58570861816406
2022-03-04,132.6941375732422
2022-03-07,130.996337890625
2022-03-08,129.30734252929688
2022-03-09,132.37745666503906
2022-03-10,132.90528869628906
2022-03-11,130.04624938964844
2022-03-14,131.22503662109375
2022-03-15,133.57386779785156
2022-03-16,135.97543334960938
2022-03-17,138.52197265625
2022-03-18,141.6167755126953
2022-03-21,140.5203399658203
2022-03-22,140.29928588867188
2022-03-23,139.0260009765625
2022-03-24,137.8411407470703
2022-03-25,139.11439514160156
2022-03-28,141.78477478027344
2022-03-29,145.6311492919922
2022-03-30,145.13595581054688
2022-03-31,142.7839813232422
2022-04-01,146.60377502441406
2022-04-04,144.81765747070312
2022-04-05,147.02821350097656
2022-04-06,150.4147186279297
2022-04-07,149.282958984375
2022-04-08,149.12380981445312
2022-04-11,146.54188537597656
2022-04-12,146.18817138671875
2022-04-13,145.89639282226562
2022-04-14,143.8626708984375
2022-04-18,144.12796020507812
2022-04-19,149.92843627929688
2022-04-20,152.67837524414062
2022-04-21,151.00718688964844
2022-04-22,149.19448852539062
2022-04-25,148.31033325195312
2022-04-26,146.45347595214844
2022-04-27,148.25726318359375
2022-04-28,152.97898864746094
2022-04-29,141.73167419433594
2022-05-02,135.40069580078125
2022-05-03,134.7198486328125
2022-05-04,134.6490936279297
2022-05-05,128.1942596435547
2022-05-06,124.56898498535156
2022-05-09,117.04428100585938
2022-05-10,110.89009857177734
2022-05-11,109.41345977783203
2022-05-12,109.58146667480469
2022-05-13,113.48970794677734
2022-05-16,110.74864196777344
2022-05-17,111.32337188720703
2022-05-18,105.69088745117188
2022-05-19,105.85889434814453
2022-05-20,105.85889434814453
2022-05-23,106.53089904785156
2022-05-24,106.17720794677734
2022-05-25,106.13300323486328
2022-05-26,108.19322967529297
2022-05-27,112.52591705322266
2022-05-31,112.72045135498047
2022-06-01,111.28800201416016
