Date,ACN
2019-07-08,190.30999755859375
2019-07-09,191.08999633789062
2019-07-10,191.7100067138672
2019-07-11,194.6699981689453
2019-07-12,196.2100067138672
2019-07-15,195.32000732421875
2019-07-16,194.25
2019-07-17,193.80999755859375
2019-07-18,194.82000732421875
2019-07-19,193.92999267578125
2019-07-22,194.44000244140625
2019-07-23,194.4600067138672
2019-07-24,194.47000122070312
2019-07-25,194.97000122070312
2019-07-26,196.92999267578125
2019-07-29,197.35000610351562
2019-07-30,195.64999389648438
2019-07-31,192.5800018310547
2019-08-01,194.16000366210938
2019-08-02,193.00999450683594
2019-08-05,185.5500030517578
2019-08-06,188.80999755859375
2019-08-07,188.8699951171875
2019-08-08,194.17999267578125
2019-08-09,191.47999572753906
2019-08-12,190.0
2019-08-13,192.8800048828125
2019-08-14,186.97000122070312
2019-08-15,189.55999755859375
2019-08-16,193.22000122070312
2019-08-19,195.17999267578125
2019-08-20,194.1999969482422
2019-08-21,195.72999572753906
2019-08-22,196.33999633789062
2019-08-23,192.80999755859375
2019-08-26,195.47000122070312
2019-08-27,197.16000366210938
2019-08-28,196.83999633789062
2019-08-29,198.74000549316406
2019-08-30,198.1699981689453
2019-09-03,195.75
2019-09-04,197.7100067138672
2019-09-05,199.49000549316406
2019-09-06,201.1199951171875
2019-09-09,194.8300018310547
2019-09-10,189.66000366210938
2019-09-11,191.3699951171875
2019-09-12,195.52000427246094
2019-09-13,194.6199951171875
2019-09-16,194.16000366210938
2019-09-17,194.9499969482422
2019-09-18,194.1300048828125
2019-09-19,194.6699981689453
2019-09-20,193.08999633789062
2019-09-23,192.83999633789062
2019-09-24,190.13999938964844
2019-09-25,190.8699951171875
2019-09-26,192.1199951171875
2019-09-27,191.3800048828125
2019-09-30,192.35000610351562
2019-10-01,189.6199951171875
2019-10-02,184.85000610351562
2019-10-03,185.80999755859375
2019-10-04,189.63999938964844
2019-10-07,186.80999755859375
2019-10-08,182.1999969482422
2019-10-09,184.33999633789062
2019-10-10,183.8300018310547
2019-10-11,184.97000122070312
2019-10-14,185.5
2019-10-15,187.0
2019-10-16,186.57000732421875
2019-10-17,186.0399932861328
2019-10-18,187.0800018310547
2019-10-21,187.33999633789062
2019-10-22,182.72000122070312
2019-10-23,184.07000732421875
2019-10-24,185.0
2019-10-25,183.07000732421875
2019-10-28,182.8699951171875
2019-10-29,184.8000030517578
2019-10-30,186.5800018310547
2019-10-31,185.4199981689453
2019-11-01,188.22000122070312
2019-11-04,187.8000030517578
2019-11-05,186.8800048828125
2019-11-06,189.22999572753906
2019-11-07,189.08999633789062
2019-11-08,189.6999969482422
2019-11-11,190.05999755859375
2019-11-12,191.42999267578125
2019-11-13,194.5
2019-11-14,196.25
2019-11-15,196.80999755859375
2019-11-18,198.02000427246094
2019-11-19,198.33999633789062
2019-11-20,197.7100067138672
2019-11-21,196.77999877929688
2019-11-22,196.66000366210938
2019-11-25,198.36000061035156
2019-11-26,200.9199981689453
2019-11-27,201.25
2019-11-29,201.16000366210938
2019-12-02,199.58999633789062
2019-12-03,198.75
2019-12-04,199.5800018310547
2019-12-05,199.85000610351562
2019-12-06,202.5500030517578
2019-12-09,202.02999877929688
2019-12-10,201.8800048828125
2019-12-11,202.3000030517578
2019-12-12,203.9199981689453
2019-12-13,206.66000366210938
