Date,SLG
2017-10-02,108.44384002685547
2017-10-03,109.59049224853516
2017-10-04,110.83270263671875
2017-10-05,110.81147003173828
2017-10-06,111.490966796875
2017-10-09,110.79023742675781
2017-10-10,110.93887329101562
2017-10-11,111.37418365478516
2017-10-12,111.29985809326172
2017-10-13,109.87715911865234
2017-10-16,109.2188949584961
2017-10-17,108.30581665039062
2017-10-18,107.80680847167969
2017-10-19,104.74906158447266
2017-10-20,103.41130065917969
2017-10-23,103.96339416503906
2017-10-24,102.13723754882812
2017-10-25,101.7125473022461
2017-10-26,101.7974853515625
2017-10-27,101.3621826171875
2017-10-30,100.36416625976562
2017-10-31,101.58514404296875
2017-11-01,101.06490325927734
2017-11-02,101.06490325927734
2017-11-03,99.9607162475586
2017-11-06,101.18169403076172
2017-11-07,102.41328430175781
2017-11-08,103.02908325195312
2017-11-09,104.84461975097656
2017-11-10,106.05497741699219
2017-11-13,106.23546600341797
2017-11-14,106.2142333984375
2017-11-15,106.34163665771484
2017-11-16,107.03175354003906
2017-11-17,107.095458984375
2017-11-20,106.72386169433594
2017-11-21,107.29718780517578
2017-11-22,106.96805572509766
2017-11-24,107.21224975585938
2017-11-27,107.4564437866211
2017-11-28,107.1060791015625
2017-11-29,108.53939819335938
2017-11-30,108.53939819335938
2017-12-01,108.3270492553711
2017-12-04,110.36554718017578
2017-12-05,108.9428482055664
2017-12-06,108.70926666259766
2017-12-07,108.10408782958984
2017-12-08,108.9322280883789
2017-12-11,108.9322280883789
2017-12-12,109.3781509399414
2017-12-13,109.25074768066406
2017-12-14,109.49494171142578
2017-12-15,109.60111236572266
2017-12-18,110.1956787109375
2017-12-19,107.8917465209961
2017-12-20,105.09942626953125
2017-12-21,105.2374496459961
2017-12-22,106.2142333984375
2017-12-26,106.54336547851562
2017-12-27,106.87249755859375
2017-12-28,107.15916442871094
2017-12-29,107.15916442871094
2018-01-02,106.85126495361328
2018-01-03,107.1803970336914
2018-01-04,104.95079040527344
2018-01-05,106.02312469482422
2018-01-08,105.51349639892578
2018-01-09,104.71720886230469
2018-01-10,102.00983428955078
2018-01-11,101.63822937011719
2018-01-12,101.3621826171875
2018-01-16,100.8525619506836
2018-01-17,100.9375
2018-01-18,99.91825103759766
2018-01-19,99.70590209960938
2018-01-22,101.8824234008789
2018-01-23,103.14586639404297
2018-01-24,102.96537780761719
2018-01-25,102.44513702392578
2018-01-26,103.96339416503906
2018-01-29,104.5473403930664
2018-01-30,104.25005340576172
2018-01-31,106.72386169433594
2018-02-01,105.64090728759766
2018-02-02,104.12265014648438
2018-02-05,99.41924285888672
2018-02-06,99.21751403808594
2018-02-07,98.59110260009766
2018-02-08,96.20223236083984
2018-02-09,97.86913299560547
2018-02-12,98.41060638427734
2018-02-13,99.6103515625
2018-02-14,99.57849884033203
2018-02-15,101.4365005493164
2018-02-16,102.13723754882812
2018-02-20,102.19032287597656
2018-02-21,100.33232116699219
2018-02-22,101.82933807373047
2018-02-23,103.6448745727539
2018-02-26,104.11203002929688
2018-02-27,101.80810546875
2018-02-28,102.90167236328125
2018-03-01,102.63624572753906
2018-03-02,103.88906860351562
2018-03-05,104.48363494873047
2018-03-06,105.99127197265625
2018-03-07,106.25669860839844
2018-03-08,105.60905456542969
2018-03-09,105.75769805908203
2018-03-12,105.94880676269531
2018-03-13,104.56857299804688
2018-03-14,104.8021469116211
2018-03-15,104.4517822265625
2018-03-16,105.04634094238281
2018-03-19,104.32437896728516
2018-03-20,103.60240936279297
2018-03-21,102.96537780761719
2018-03-22,101.97798156738281
2018-03-23,98.67604064941406
2018-03-26,100.26861572265625
2018-03-27,100.82070922851562
2018-03-28,104.03771209716797
2018-03-29,102.80612182617188
2018-04-02,101.25601196289062
2018-04-03,102.7742691040039
2018-04-04,102.26464080810547
2018-04-05,101.92489624023438
2018-04-06,100.35355377197266
2018-04-09,100.27922821044922
2018-04-10,101.06490325927734
2018-04-11,100.97996520996094
2018-04-12,100.86317443847656
2018-04-13,101.0118179321289
2018-04-16,102.47698974609375
2018-04-17,103.07154846191406
2018-04-18,102.46636962890625
2018-04-19,103.0396957397461
2018-04-20,101.92489624023438
2018-04-23,102.1584701538086
2018-04-24,102.10538482666016
2018-04-25,102.3389663696289
2018-04-26,103.69795989990234
2018-04-27,104.70659637451172
2018-04-30,103.77228546142578
2018-05-01,104.22882080078125
2018-05-02,102.99723052978516
2018-05-03,103.52809143066406
2018-05-04,106.08683013916016
2018-05-07,106.55398559570312
2018-05-08,106.45842742919922
2018-05-09,107.13792419433594
2018-05-10,107.46705627441406
2018-05-11,106.25669860839844
2018-05-14,105.06758117675781
2018-05-15,102.43451690673828
2018-05-16,100.99058532714844
2018-05-17,100.4066390991211
2018-05-18,100.08811950683594
2018-05-21,101.18169403076172
2018-05-22,101.0011978149414
2018-05-23,102.1690902709961
2018-05-24,101.62760925292969
2018-05-25,101.77625274658203
2018-05-29,101.52143859863281
2018-05-30,103.25204467773438
2018-05-31,103.53870391845703
2018-06-01,104.03771209716797
2018-06-04,104.35623168945312
2018-06-05,104.39869689941406
2018-06-06,105.17375183105469
2018-06-07,104.84461975097656
2018-06-08,104.63227081298828
2018-06-11,103.54932403564453
2018-06-12,103.46438598632812
2018-06-13,101.70193481445312
2018-06-14,103.87845611572266
2018-06-15,105.44979858398438
2018-06-18,105.94880676269531
2018-06-19,105.50288391113281
2018-06-20,106.88311767578125
2018-06-21,106.38410949707031
2018-06-22,107.85989379882812
2018-06-25,106.81941223144531
2018-06-26,106.34163665771484
2018-06-27,106.38410949707031
2018-06-28,107.0211410522461
2018-06-29,106.7344741821289
2018-07-02,106.5645980834961
2018-07-03,107.53076171875
2018-07-05,108.87914276123047
2018-07-06,109.04901885986328
2018-07-09,108.85791015625
2018-07-10,108.30581665039062
2018-07-11,108.08285522460938
2018-07-12,109.15518951416016
2018-07-13,109.32506561279297
2018-07-16,108.25273132324219
2018-07-17,106.39472198486328
2018-07-18,106.83003234863281
2018-07-19,107.93421936035156
2018-07-20,105.43917846679688
2018-07-23,105.78954315185547
2018-07-24,106.18238067626953
2018-07-25,107.29718780517578
2018-07-26,107.72187042236328
2018-07-27,106.98928833007812
2018-07-30,106.7344741821289
2018-07-31,109.47370910644531
2018-08-01,110.14258575439453
2018-08-02,109.53740692138672
2018-08-03,110.83270263671875
2018-08-06,112.0218276977539
2018-08-07,112.35095977783203
2018-08-08,111.61837768554688
2018-08-09,111.32109832763672
2018-08-10,110.21691131591797
2018-08-13,109.61173248291016
2018-08-14,109.6648178100586
