Date,TYL
2022-09-28,347.0799865722656
2022-09-29,347.70001220703125
2022-09-30,347.5
2022-10-03,349.20001220703125
2022-10-04,362.8900146484375
2022-10-05,367.2699890136719
2022-10-06,366.0
2022-10-07,352.95001220703125
2022-10-10,343.5400085449219
2022-10-11,329.760009765625
2022-10-12,328.1499938964844
2022-10-13,324.75
2022-10-14,315.8299865722656
2022-10-17,326.25
2022-10-18,339.3900146484375
2022-10-19,336.3699951171875
2022-10-20,334.55999755859375
2022-10-21,335.95001220703125
2022-10-24,337.9800109863281
2022-10-25,346.05999755859375
2022-10-26,343.4200134277344
2022-10-27,333.5299987792969
2022-10-28,330.5
2022-10-31,323.3299865722656
2022-11-01,314.239990234375
2022-11-02,296.55999755859375
2022-11-03,292.6300048828125
2022-11-04,287.92999267578125
2022-11-07,289.4700012207031
2022-11-08,296.1400146484375
2022-11-09,292.0199890136719
2022-11-10,309.7099914550781
2022-11-11,324.6099853515625
2022-11-14,320.3500061035156
2022-11-15,337.20001220703125
2022-11-16,335.6400146484375
2022-11-17,320.54998779296875
2022-11-18,313.45001220703125
2022-11-21,321.82000732421875
2022-11-22,326.92999267578125
2022-11-23,333.0400085449219
2022-11-25,330.8800048828125
2022-11-28,326.7300109863281
2022-11-29,324.1499938964844
2022-11-30,342.739990234375
2022-12-01,352.2300109863281
2022-12-02,342.2200012207031
2022-12-05,323.510009765625
2022-12-06,314.07000732421875
2022-12-07,308.8299865722656
2022-12-08,318.44000244140625
2022-12-09,323.0799865722656
2022-12-12,325.2099914550781
2022-12-13,334.9100036621094
2022-12-14,334.6099853515625
2022-12-15,322.82000732421875
2022-12-16,320.29998779296875
2022-12-19,320.04998779296875
2022-12-20,319.25
2022-12-21,329.6199951171875
2022-12-22,321.8299865722656
2022-12-23,320.1199951171875
2022-12-27,320.8500061035156
2022-12-28,314.9100036621094
2022-12-29,325.4700012207031
2022-12-30,322.4100036621094
2023-01-03,319.3299865722656
2023-01-04,320.67999267578125
2023-01-05,306.5199890136719
2023-01-06,310.9100036621094
2023-01-09,318.989990234375
2023-01-10,313.07000732421875
2023-01-11,318.0899963378906
2023-01-12,316.55999755859375
2023-01-13,316.760009765625
2023-01-17,319.1199951171875
2023-01-18,305.1300048828125
2023-01-19,305.3399963378906
2023-01-20,316.0
2023-01-23,324.8999938964844
2023-01-24,319.0
2023-01-25,318.1499938964844
2023-01-26,320.8800048828125
2023-01-27,327.4700012207031
2023-01-30,317.3500061035156
2023-01-31,322.7699890136719
